region,decade,gdp_pc_weighted,pop
Nordic countries,1800,1421.281229080198,2244.722222222222
Nordic countries,1810,1338.2222222222222,2463.5833333333335
Nordic countries,1820,1537.7685949581717,1994.8881578947369
Nordic countries,1830,1661.6463051067706,1872.8260869565217
Nordic countries,1840,1716.9962135573223,1916.6060606060605
Nordic countries,1850,1876.935077224171,2100.5714285714284
Nordic countries,1860,2038.1593270903475,2282.897435897436
Nordic countries,1870,2243.4825102774607,2408.1944444444443
Nordic countries,1880,2486.801791773923,2637.8863636363635
Persian world,1820,877.0,6560.0
Persian world,1870,956.0,8415.0
Portugal,1530,1380.5300519055502,1032.0
Portugal,1540,1270.9800042092045,1040.0
Portugal,1550,1411.00798677475,1050.0
Portugal,1560,1376.1305475376137,1060.0
Portugal,1570,1508.0200733400834,1070.0
Portugal,1580,1259.3617320230226,1080.0
Portugal,1590,1304.0003789489447,1090.0
Portugal,1600,1258.4284746732046,1110.909090909091
Portugal,1610,1359.83392069525,1190.0
Portugal,1620,1400.3936371135455,1280.0
Portugal,1630,1274.591508238028,1370.0
Portugal,1640,1422.082751769432,1460.0
Portugal,1650,1415.8976601567779,1550.0
Portugal,1660,1473.8482705247955,1640.0
Portugal,1670,1626.650574902889,1730.0
Portugal,1680,1642.729256749159,1820.0
Portugal,1690,1897.0643237151667,1910.0
Portugal,1700,1632.3443327430907,2002.465909090909
Portugal,1710,1499.07098848325,2108.0833333333335
Portugal,1720,1774.6758043063637,2216.166666666667
Portugal,1730,1962.6018388997222,2324.25
Portugal,1740,2009.062470311591,2432.333333333333
Portugal,1750,2118.6361411619446,2540.4166666666665
Portugal,1760,2055.2416635577274,2648.5
Portugal,1770,1932.7311389244444,2756.5833333333335
Portugal,1780,1984.125025506591,2864.666666666667
Portugal,1790,1850.2938278066665,2972.75
Portugal,1800,1529.9267896185002,3080.833333333333
Portugal,1810,1284.1131326584168,3188.9166666666665
Portugal,1820,1522.6905811658864,3308.2613636363635
Portugal,1830,1545.3511406363334,3481.1111111111113
Portugal,1840,1542.823380244841,3689.7272727272725
Portugal,1850,1484.116508784,3793.6
Portugal,1860,1430.6666666666667,4047.3333333333335
Portugal,1870,1520.6666666666667,4327.777777777777
Portugal,1880,1522.6666666666667,4621.272727272727
Spain,1280,1398.4037777157273,5573.6
Spain,1290,1501.835514700479,5624.0
Spain,1300,1404.1346238690737,5680.0
Spain,1310,1451.8268219198608,5736.0
Spain,1320,1369.83748024962,5792.0
Spain,1330,1440.6013661129064,5848.0
Spain,1340,1577.16927768166,5904.0
Spain,1350,1453.0778325549618,5960.0
Spain,1360,1398.9645990833944,6016.0
Spain,1370,1256.5498298488883,6072.0
Spain,1380,1219.0879985831625,6128.0
Spain,1390,1267.1575461769687,6184.0
Spain,1400,1284.273550600897,6240.0
Spain,1410,1184.3825266788929,6296.0
Spain,1420,1193.5167556509484,6352.0
Spain,1430,1217.494962114731,6408.0
Spain,1440,1173.8918868165217,6464.0
Spain,1450,1380.481828127728,6520.0
Spain,1460,1261.8423855219278,6576.0
Spain,1470,1063.3240391990892,6632.0
Spain,1480,1217.9306274279277,6688.0
Spain,1490,1197.5434037597045,6744.0
Spain,1500,1233.122671222775,6812.0
Spain,1510,1397.6234556631805,6944.0
Spain,1520,1391.84798695943,7088.0
Spain,1530,1322.2135530446958,7232.0
Spain,1540,1405.1090574949355,7376.0
Spain,1550,1481.8809791500298,7520.0
Spain,1560,1497.7025958583092,7664.0
Spain,1570,1525.4566588441028,7808.0
Spain,1580,1406.473009048547,7952.0
Spain,1590,1367.1233494056023,8096.0
Spain,1600,1250.7215706690104,8227.59090909091
Spain,1610,1152.367321434261,8293.0
Spain,1620,1109.7697400998186,8346.0
Spain,1630,1077.0975248222514,8399.0
Spain,1640,1057.5337251187432,8452.0
Spain,1650,1053.3041729021006,8505.0
Spain,1660,1099.9112361112554,8558.0
Spain,1670,1104.508424420283,8611.0
Spain,1680,1101.239277900368,8664.0
Spain,1690,1168.213821871341,8717.0
Spain,1700,1153.9073008939629,8801.78409090909
Spain,1710,1073.2110477443846,9056.083333333334
Spain,1720,1156.1217322173768,9342.166666666668
Spain,1730,1211.7312246083702,9628.25
Spain,1740,1256.3952590855486,9914.333333333332
Spain,1750,1292.632066201631,10200.416666666666
Spain,1760,1358.204899933924,10486.5
Spain,1770,1313.6735355816465,10772.583333333334
Spain,1780,1349.7241707877677,11058.666666666668
Spain,1790,1402.9007537720317,11344.75
Spain,1800,1344.9723267534564,11630.833333333334
Spain,1810,1407.9194637920623,11916.916666666666
Spain,1820,1545.5219262893545,12275.897727272728
Spain,1830,1607.9908432101831,13043.111111111111
Spain,1840,1589.3037679850574,13939.90909090909
Spain,1850,1699.338087098664,14874.555555555555
Spain,1860,1874.4164402103502,15630.272727272728
Spain,1870,2000.7278678108107,16201.666666666666
Spain,1880,2422.9870311011314,16874.727272727272
United Kingdom,1000,1151.0,2000.0
United Kingdom,1250,1321.6666666666667,2982.652
United Kingdom,1260,1250.7272727272727,3009.8400000000006
United Kingdom,1270,1225.6666666666667,3048.6800000000003
United Kingdom,1280,1123.7272727272727,3087.52
United Kingdom,1290,1052.5555555555557,3126.3599999999997
United Kingdom,1300,1177.5454545454545,3165.2
United Kingdom,1310,1214.2222222222222,3204.04
United Kingdom,1320,1178.6363636363637,3242.88
United Kingdom,1330,1175.3333333333333,3281.7200000000003
United Kingdom,1340,1211.8181818181818,3320.5599999999995
United Kingdom,1350,1359.4444444444443,3359.3999999999996
United Kingdom,1360,1545.4545454545455,3398.24
United Kingdom,1370,1453.0,3437.08
United Kingdom,1380,1496.4545454545455,3475.92
United Kingdom,1390,1709.5555555555557,3514.76
United Kingdom,1400,1753.5454545454545,3553.6
United Kingdom,1410,1632.7777777777778,3592.44
United Kingdom,1420,1756.4545454545455,3631.2799999999993
United Kingdom,1430,1680.3333333333333,3670.1200000000003
United Kingdom,1440,1588.0,3708.9599999999996
United Kingdom,1450,1684.7777777777778,3747.8000000000006
United Kingdom,1460,1637.2727272727273,3786.64
United Kingdom,1470,1596.3333333333333,3825.48
United Kingdom,1480,1598.4545454545455,3864.3199999999997
United Kingdom,1490,1627.888888888889,3903.1600000000003
United Kingdom,1500,1703.0,3967.085454545455
United Kingdom,1510,1773.0,4164.799999999999
United Kingdom,1520,1812.1818181818182,4387.599999999999
United Kingdom,1530,1748.111111111111,4610.4
United Kingdom,1540,1695.0,4833.2
United Kingdom,1550,1684.6666666666667,5056.0
United Kingdom,1560,1708.0,5278.8
United Kingdom,1570,1837.111111111111,5501.6
United Kingdom,1580,1691.7272727272727,5724.400000000001
United Kingdom,1590,1565.111111111111,5947.200000000001
