,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita,inclusive,restricted
1776,1572,Low countries,2.762,856.8991636552355,780.2027589185238,936.660720211531,68.6,24.660449130124157,281.8779890510431,309.5944521324014,338.4226569662022,re_low_countries,2056,1,1
1777,1573,Low countries,2.7705,896.7468485040396,816.8460279857086,979.6089460324138,78.9,28.24750429627913,294.05264463591715,322.82450261433473,352.6678163109125,re_low_countries,2258,1,1
1778,1574,Low countries,2.779,936.5945333528437,853.4892970528932,1022.5571718532965,89.2,31.834559462434104,306.2273002207912,336.05455309626814,366.91297565562274,re_low_countries,2660,1,1
1779,1575,Low countries,2.7875,976.4422182016476,890.1325661200779,1065.5053976741792,99.5,35.42161462858908,318.40195580566535,349.28460357820154,381.158135000333,re_low_countries,2924,1,1
1780,1576,Low countries,2.7960000000000003,1016.2899030504517,926.7758351872625,1108.453623495062,109.80000000000001,39.00866979474405,330.57661139053937,362.51465406013494,395.4032943450433,re_low_countries,2860,1,1
1781,1577,Low countries,2.8045,1056.1375878992558,963.4191042544471,1151.4018493159447,120.10000000000001,42.59572496089903,342.7512669754135,375.74470454206835,409.6484536897536,re_low_countries,3839,1,1
1782,1578,Low countries,2.813,1095.9852727480597,1000.0623733216319,1194.3500751368274,130.4,46.182780127054,354.9259225602876,388.97475502400175,423.8936130344639,re_low_countries,4064,1,1
1783,1579,Low countries,2.8215,1135.8329575968637,1036.7056423888164,1237.2983009577101,140.7,49.76983529320898,367.10057814516165,402.2048055059351,438.13877237917416,re_low_countries,3181,1,1
1784,1580,Low countries,2.83,1175.680642445668,1073.3489114560011,1280.2465267785929,151.0,53.35689045936395,379.2752337300357,415.4348559878685,452.3839317238844,re_low_countries,3292,1,1
1785,1581,Low countries,2.8385000000000002,1167.0349271666296,1066.050672935708,1270.3833152467532,143.0,50.45687894344471,375.6656014806366,411.25752783866255,447.68119589146846,re_low_countries,3433,1,1
1786,1582,Low countries,2.847,1158.389211887591,1058.7524344154149,1260.5201037149138,135.0,47.55686742752547,372.0559692312375,407.08019968945666,442.97846005905245,re_low_countries,3568,1,1
1787,1583,Low countries,2.8555,1149.7434966085527,1051.4541958951218,1250.6568921830742,127.0,44.65685591160623,368.44633698183833,402.90287154025077,438.2757242266365,re_low_countries,3432,1,1
1788,1584,Low countries,2.864,1141.0977813295144,1044.1559573748286,1240.7936806512348,119.0,41.75684439568698,364.8367047324392,398.7255433910448,433.57298839422054,re_low_countries,3887,1,1
1789,1585,Low countries,2.8725,1132.4520660504759,1036.8577188545355,1230.9304691193952,111.0,38.85683287976774,361.2270724830401,394.5482152418389,428.8702525618046,re_low_countries,3381,1,1
1790,1586,Low countries,2.8810000000000002,1123.8063507714376,1029.5594803342424,1221.0672575875556,103.0,35.9568213638485,357.617440233641,390.370887092633,424.1675167293886,re_low_countries,3450,1,1
1791,1587,Low countries,2.8895,1115.1606354923993,1022.2612418139491,1211.2040460557162,95.0,33.05680984792926,354.0078079842419,386.1935589434271,419.4647808969726,re_low_countries,3988,1,1
1792,1588,Low countries,2.898,1106.514920213361,1014.963003293656,1201.3408345238765,87.0,30.156798332010013,350.3981757348427,382.01623079422114,414.7620450645567,re_low_countries,3660,1,1
