,N_est,lower,upper,decade,region_name,model_type,count_cps
1575,10.931065877098925,8.878040990233561,13.190948387214277,1250,Balkans,base_model,1
1576,11.680612070305264,9.452535169231725,14.081080111910063,1280,Balkans,base_model,1
1577,38.25096739798007,30.94724172425123,46.2793016567843,1320,Balkans,base_model,3
1578,39.074538781437944,31.587655570290522,47.27953296409206,1330,Balkans,base_model,3
1579,39.90362766115868,32.26289392790263,48.36238470337598,1340,Balkans,base_model,3
1580,83.14486342353862,67.32853359614653,100.75271153759586,1360,Balkans,base_model,6
1581,28.27266127680181,22.897338571585877,34.19965800430831,1370,Balkans,base_model,2
1582,56.659664500859336,45.786613169391494,68.69038088787133,1380,Balkans,base_model,4
1583,29.385271325070526,23.836381286152424,35.4999156249634,1390,Balkans,base_model,2
1584,46.542404361339706,37.87301029447225,55.96981335433217,1420,Balkans,base_model,3
1585,15.78175828900412,12.860417180061953,18.96760392878112,1430,Balkans,base_model,1
1586,158.4502923201364,128.82041562797426,190.94414433109083,1440,Balkans,base_model,10
1587,47.90944138875973,38.88039119559714,57.65873088438219,1450,Balkans,base_model,3
1588,130.44222274453654,106.04152727747083,156.77676997814407,1460,Balkans,base_model,8
1589,33.601109959888895,27.42711240403256,40.282378732313504,1470,Balkans,base_model,2
1590,119.26657356180381,97.4144472503437,142.79561316657373,1480,Balkans,base_model,7
1591,138.13547714961908,112.92574834801913,165.34009594374257,1490,Balkans,base_model,8
1592,156.3754853985015,127.85041210132371,187.4759212866067,1500,Balkans,base_model,9
1593,17.694805371735434,14.492466916132978,21.17456183237326,1510,Balkans,base_model,1
1594,175.9187322952852,143.62771163019534,211.33071813227653,1520,Balkans,base_model,10
1595,90.38188753679113,74.04905003026192,108.19561618217718,1530,Balkans,base_model,5
1596,199.72057645989742,163.37872519975124,239.16391097405122,1540,Balkans,base_model,11
1597,110.42237188364224,90.47512637902824,132.10828583748508,1550,Balkans,base_model,6
1598,74.17845831658217,60.877196820207594,88.76161681486546,1560,Balkans,base_model,4
1599,92.34516281410367,75.67327341180095,110.72822624952168,1570,Balkans,base_model,5
1600,150.20852110146075,123.42214161968843,179.6545871132183,1580,Balkans,base_model,8
1601,37.729676268751454,30.969458068130535,45.11261297316495,1590,Balkans,base_model,2
1602,207.2798468954502,169.90738394393608,247.84545032337937,1600,Balkans,base_model,11
1603,18.98468281701342,15.596550995002799,22.661331174473293,1610,Balkans,base_model,1
1604,95.0803715397476,78.13288037525294,113.50581621456978,1620,Balkans,base_model,5
1605,76.11941593482786,62.51160371170894,90.91459391618949,1630,Balkans,base_model,4
1606,246.35394995692837,202.12599215653677,294.09162364301216,1640,Balkans,base_model,13
1607,38.01887782286404,31.23582669298354,45.35678791900433,1650,Balkans,base_model,2
1608,150.8220940339962,123.78876676082241,180.247245765531,1660,Balkans,base_model,8
