region,decade,gdp_pc_weighted,pop
Latin World,1500,1509.7443179165284,9195.893370165746
Latin World,1550,1495.139539225262,8986.172839506173
Latin World,1600,1476.4772732014335,9912.171206225681
Latin World,1650,1563.0536241730242,10556.655870445344
Latin World,1700,1736.5770787111487,11451.645784695202
Latin World,1750,1908.4006102871342,14212.660458839406
Latin World,1800,2090.5173525312957,17286.95244755245
Latin World,1850,2781.6264797993917,20013.738333333335
Latin World,1900,3490.795784446948,20146.425
Low countries,1350,1765.6301577870202,769.3000000000001
Low countries,1400,2034.794309880815,820.0
Low countries,1450,2216.2319473243842,885.0
Low countries,1500,2455.047273143717,984.9038461538462
Low countries,1550,2910.858288269436,1230.5
Low countries,1600,3719.0779409227894,1492.548076923077
Low countries,1650,3622.216360830046,1702.0
Low countries,1700,3676.875435214535,1899.4751602564102
Low countries,1750,3953.61932818505,2090.758333333333
Low countries,1800,3871.597370395242,2313.4
Low countries,1850,3624.983795114292,3726.102564102564
Low countries,1900,4635.759818501795,5205.0192307692305
Nordic countries,1300,1360.7692307692307,493.75
Nordic countries,1350,1447.0408163265306,505.0
Nordic countries,1400,1501.4117647058824,520.0
Nordic countries,1450,1519.591836734694,535.0
Nordic countries,1500,1747.0,561.4705882352941
Nordic countries,1550,1581.3673469387754,655.0
Nordic countries,1600,1466.3313049357673,771.2019230769231
Nordic countries,1650,1668.9738022868723,997.8
Nordic countries,1700,1801.9277108433735,1280.5969551282053
Nordic countries,1750,1543.0738340835837,1785.35
Nordic countries,1800,1479.932314988668,2178.3868055555554
Nordic countries,1850,1905.0058363387752,2143.817610062893
Nordic countries,1900,2486.801791773923,2809.875
Persian world,1800,877.0,6560.0
Persian world,1850,956.0,8415.0
Portugal,1550,1384.26930821725,1052.0
Portugal,1600,1315.1868819353972,1150.9803921568628
Portugal,1650,1443.05099867175,1550.0
Portugal,1700,1688.4796302268726,2011.5236928104575
Portugal,1750,2017.0013784375,2540.416666666667
Portugal,1800,1639.486843203657,3083.2622549019607
Portugal,1850,1521.0216214146014,3837.2162162162163
Portugal,1900,1522.6666666666667,4918.846153846154
Spain,1300,1422.0875137618414,5685.6
Spain,1350,1430.3986510421719,5960.0
Spain,1400,1229.9906276252518,6240.0
Spain,1450,1219.2813155244262,6520.0
Spain,1500,1286.8316838532828,6856.078431372549
Spain,1550,1446.8752838007174,7520.0
Spain,1600,1257.0985010892139,8182.009803921569
Spain,1650,1078.491544343504,8505.0
Spain,1700,1131.3093185817709,8918.533496732025
Spain,1750,1288.22312625998,10200.416666666668
Spain,1800,1410.5840121610433,11646.55637254902
Spain,1850,1752.519050474008,14741.755102040815
Spain,1900,2422.9870311011314,17522.26923076923
United Kingdom,1000,1151.0,2000.0
United Kingdom,1250,1250.1739130434783,3021.492
United Kingdom,1300,1150.5882352941176,3165.2
United Kingdom,1350,1351.4285714285713,3359.4
United Kingdom,1400,1669.6470588235295,3553.6
United Kingdom,1450,1635.3265306122448,3747.8
United Kingdom,1500,1703.0980392156862,4059.2294117647057
United Kingdom,1550,1731.8775510204082,5056.0
United Kingdom,1600,1667.0,6180.642156862745
United Kingdom,1650,1703.1632653061224,7367.5
United Kingdom,1700,2347.1960784313724,9085.424836601307
United Kingdom,1750,2725.3673469387754,13845.833333333334
United Kingdom,1800,3179.7450980392155,19182.073529411766
United Kingdom,1850,4539.632653061224,27736.38775510204
United Kingdom,1900,5912.166666666667,36871.53846153846
