,region_name,occupations_name,decade,score,count_occupations
8799,Nordic countries,architect,1630,1,486
8800,Nordic countries,composer,1630,1,472
8801,Nordic countries,drawer,1630,1,377
8802,Nordic countries,historian,1630,3,462
8803,Nordic countries,painter,1630,2,1446
8804,Nordic countries,poet,1630,3,704
8805,Nordic countries,theologian,1630,4,441
8806,Nordic countries,translator,1630,1,468
8807,Nordic countries,university teacher,1630,1,381
8808,Nordic countries,architect,1640,3,486
8809,Nordic countries,botanist,1640,3,279
8810,Nordic countries,composer,1640,2,472
8811,Nordic countries,drawer,1640,2,377
8812,Nordic countries,historian,1640,6,462
8813,Nordic countries,painter,1640,12,1446
8814,Nordic countries,poet,1640,8,704
8815,Nordic countries,theologian,1640,8,441
8816,Nordic countries,translator,1640,7,468
8817,Nordic countries,university teacher,1640,5,381
8818,Nordic countries,architect,1650,1,486
8819,Nordic countries,drawer,1650,1,377
8820,Nordic countries,historian,1650,6,462
8821,Nordic countries,painter,1650,4,1446
8822,Nordic countries,poet,1650,9,704
8823,Nordic countries,theologian,1650,6,441
8824,Nordic countries,translator,1650,1,468
8825,Nordic countries,university teacher,1650,2,381
8826,Nordic countries,architect,1660,6,486
8827,Nordic countries,botanist,1660,3,279
8828,Nordic countries,composer,1660,1,472
8829,Nordic countries,drawer,1660,2,377
8830,Nordic countries,historian,1660,9,462
8831,Nordic countries,painter,1660,14,1446
8832,Nordic countries,poet,1660,4,704
8833,Nordic countries,theologian,1660,11,441
8834,Nordic countries,translator,1660,2,468
8835,Nordic countries,university teacher,1660,8,381
8836,Nordic countries,architect,1670,2,486
8837,Nordic countries,botanist,1670,1,279
8838,Nordic countries,composer,1670,1,472
8839,Nordic countries,drawer,1670,1,377
8840,Nordic countries,historian,1670,6,462
8841,Nordic countries,painter,1670,6,1446
8842,Nordic countries,poet,1670,9,704
8843,Nordic countries,theologian,1670,9,441
8844,Nordic countries,translator,1670,2,468
8845,Nordic countries,university teacher,1670,5,381
8846,Nordic countries,architect,1680,4,486
8847,Nordic countries,botanist,1680,5,279
8848,Nordic countries,composer,1680,4,472
8849,Nordic countries,drawer,1680,4,377
8850,Nordic countries,historian,1680,4,462
8851,Nordic countries,painter,1680,20,1446
8852,Nordic countries,poet,1680,13,704
8853,Nordic countries,theologian,1680,12,441
8854,Nordic countries,translator,1680,4,468
8855,Nordic countries,university teacher,1680,8,381
8856,Nordic countries,architect,1690,3,486
8857,Nordic countries,drawer,1690,4,377
8858,Nordic countries,historian,1690,3,462
8859,Nordic countries,painter,1690,13,1446
8860,Nordic countries,poet,1690,8,704
8861,Nordic countries,theologian,1690,13,441
8862,Nordic countries,translator,1690,3,468
8863,Nordic countries,university teacher,1690,7,381
8864,Nordic countries,architect,1700,5,486
8865,Nordic countries,botanist,1700,3,279
8866,Nordic countries,composer,1700,3,472
8867,Nordic countries,drawer,1700,5,377
8868,Nordic countries,historian,1700,4,462
8869,Nordic countries,painter,1700,14,1446
8870,Nordic countries,poet,1700,12,704
8871,Nordic countries,theologian,1700,13,441
8872,Nordic countries,university teacher,1700,11,381
8873,Nordic countries,architect,1710,2,486
8874,Nordic countries,composer,1710,2,472
8875,Nordic countries,drawer,1710,2,377
8876,Nordic countries,historian,1710,6,462
8877,Nordic countries,painter,1710,15,1446
8878,Nordic countries,poet,1710,12,704
8879,Nordic countries,theologian,1710,7,441
8880,Nordic countries,translator,1710,2,468
8881,Nordic countries,university teacher,1710,9,381
8882,Nordic countries,architect,1720,5,486
8883,Nordic countries,botanist,1720,1,279
8884,Nordic countries,composer,1720,5,472
8885,Nordic countries,drawer,1720,7,377
8886,Nordic countries,historian,1720,15,462
8887,Nordic countries,painter,1720,19,1446
8888,Nordic countries,poet,1720,10,704
8889,Nordic countries,theologian,1720,9,441
8890,Nordic countries,translator,1720,7,468
8891,Nordic countries,university teacher,1720,6,381
8892,Nordic countries,architect,1730,9,486
8893,Nordic countries,botanist,1730,1,279
8894,Nordic countries,composer,1730,3,472
8895,Nordic countries,drawer,1730,5,377
8896,Nordic countries,historian,1730,5,462
8897,Nordic countries,painter,1730,13,1446
