,region_name,decade,cultural_score,log_cultural_score
2215,Northern China,590,80,4.394449154672439
2216,Northern China,600,423,6.049733455231958
2217,Northern China,640,176,5.176149732573829
2218,Northern China,650,297,5.697093486505405
2219,Northern China,660,38,3.6635616461296463
2220,Northern China,680,22,3.1354942159291497
2221,Northern China,690,134,4.90527477843843
2222,Northern China,700,839,6.733401891837359
2223,Northern China,710,771,6.648984550024776
2224,Northern China,720,11,2.4849066497880004
2225,Northern China,730,559,6.327936783729195
2226,Northern China,740,355,5.87493073085203
2227,Northern China,750,1,0.6931471805599453
2228,Northern China,760,3,1.3862943611198906
2229,Northern China,770,4202,8.343553835005117
2230,Northern China,780,912,6.816735880594968
2231,Northern China,790,222,5.407171771460119
2232,Northern China,800,78,4.3694478524670215
2233,Northern China,810,816,6.705639094860003
2234,Northern China,840,91,4.5217885770490405
2235,Northern China,860,5,1.791759469228055
2236,Northern China,870,1,0.6931471805599453
2237,Northern China,910,1,0.6931471805599453
2238,Northern China,920,13,2.6390573296152584
2239,Northern China,950,162,5.093750200806762
2240,Northern China,990,14,2.70805020110221
2241,Northern China,1010,44,3.8066624897703196
2242,Northern China,1020,50,3.9318256327243257
2243,Northern China,1040,5,1.791759469228055
2244,Northern China,1050,44,3.8066624897703196
2245,Northern China,1080,93,4.543294782270004
2246,Northern China,1090,19,2.995732273553991
2247,Northern China,1100,12,2.5649493574615367
2248,Northern China,1120,54,4.007333185232471
2249,Northern China,1140,61,4.127134385045092
2250,Northern China,1150,3,1.3862943611198906
2251,Northern China,1200,7,2.0794415416798357
2252,Northern China,1230,1,0.6931471805599453
2253,Northern China,1240,3,1.3862943611198906
2254,Northern China,1250,4,1.6094379124341003
2255,Northern China,1260,2,1.0986122886681098
2256,Northern China,1270,65,4.189654742026425
2257,Northern China,1280,1,0.6931471805599453
2258,Northern China,1290,5,1.791759469228055
2259,Northern China,1300,2,1.0986122886681098
2260,Northern China,1380,1,0.6931471805599453
2261,Northern China,1400,37,3.6375861597263857
2262,Northern China,1450,2,1.0986122886681098
2263,Northern China,1460,6,1.9459101490553132
2264,Northern China,1470,7,2.0794415416798357
2265,Northern China,1500,9,2.302585092994046
2266,Northern China,1560,2,1.0986122886681098
2267,Northern China,1590,11,2.4849066497880004
2268,Northern China,1600,4,1.6094379124341003
2269,Northern China,1610,15,2.772588722239781
2270,Northern China,1640,10,2.3978952727983707
2271,Northern China,1650,6,1.9459101490553132
2272,Northern China,1660,61,4.127134385045092
2273,Northern China,1670,2,1.0986122886681098
2274,Northern China,1690,56,4.04305126783455
2275,Northern China,1700,1,0.6931471805599453
2276,Northern China,1710,947,6.854354502255021
2277,Northern China,1720,2,1.0986122886681098
2278,Northern China,1780,2,1.0986122886681098
2279,Northern China,1800,11,2.4849066497880004
2280,Northern China,1840,650,6.478509642208569
2281,Northern China,1850,1,0.6931471805599453
2282,Northern France,320,10,2.3978952727983707
2283,Northern France,530,1,0.6931471805599453
2284,Northern France,790,1,0.6931471805599453
2285,Northern France,850,1,0.6931471805599453
2286,Northern France,890,1,0.6931471805599453
2287,Northern France,960,1,0.6931471805599453
2288,Northern France,980,2,1.0986122886681098
2289,Northern France,1000,2,1.0986122886681098
2290,Northern France,1020,1,0.6931471805599453
2291,Northern France,1040,1,0.6931471805599453
2292,Northern France,1050,1,0.6931471805599453
2293,Northern France,1060,3,1.3862943611198906
2294,Northern France,1080,12,2.5649493574615367
2295,Northern France,1090,7,2.0794415416798357
2296,Northern France,1100,21,3.091042453358316
2297,Northern France,1120,4,1.6094379124341003
2298,Northern France,1130,6,1.9459101490553132
2299,Northern France,1140,19,2.995732273553991
2300,Northern France,1150,6,1.9459101490553132
2301,Northern France,1160,16,2.833213344056216
2302,Northern France,1180,10,2.3978952727983707
2303,Northern France,1190,4,1.6094379124341003
2304,Northern France,1200,16,2.833213344056216
2305,Northern France,1220,3,1.3862943611198906
2306,Northern France,1240,14,2.70805020110221
2307,Northern France,1250,2,1.0986122886681098
2308,Northern France,1260,3,1.3862943611198906
2309,Northern France,1280,1,0.6931471805599453
2310,Northern France,1290,2,1.0986122886681098
2311,Northern France,1300,30,3.4339872044851463
2312,Northern France,1310,1,0.6931471805599453
2313,Northern France,1320,3,1.3862943611198906
2314,Northern France,1330,2,1.0986122886681098
2315,Northern France,1340,9,2.302585092994046
2316,Northern France,1350,10,2.3978952727983707
2317,Northern France,1360,9,2.302585092994046
2318,Northern France,1370,2,1.0986122886681098
2319,Northern France,1380,35,3.58351893845611
2320,Northern France,1390,27,3.332204510175204
2321,Northern France,1400,15,2.772588722239781
2322,Northern France,1410,12,2.5649493574615367
2323,Northern France,1420,23,3.1780538303479458
2324,Northern France,1430,82,4.418840607796598
