,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita
1311,1594,Italy,11.88,3996.8141871187518,3675.6993075284636,4338.856751722169,271.6,22.812994350282484,308.5744542702389,335.53210094537894,364.2480799554383,2404
1312,1595,Italy,11.9,4269.06338834764,3926.1014347648215,4633.949165968407,286.5,24.02471751412429,329.06360176612424,357.8088257113169,388.39300047952634,2396
1313,1596,Italy,11.92,4541.312589576528,4176.503562001179,4929.041580214645,301.4,25.2364406779661,349.55274926200957,380.08555047725486,412.5379210036143,2273
1314,1597,Italy,11.94,4813.5617908054155,4426.905689237537,5224.133994460883,316.3,26.448163841807908,370.04189675789485,402.3622752431928,436.6828415277023,2327
1315,1598,Italy,11.96,5085.810992034304,4677.3078164738945,5519.226408707121,331.2,27.659887005649715,390.53104425378024,424.63900000913077,460.82776205179033,2396
1316,1599,Italy,11.98,5358.060193263193,4927.709943710252,5814.318822953359,346.1,28.871610169491525,411.0201917496655,446.9157247750687,484.97268257587837,2496
1317,1600,Italy,12.0,5630.30939449208,5178.11207094661,6109.411237199596,361.0,30.083333333333332,431.50933924555085,469.1924495410067,509.11760309996635,2404
1318,1601,Italy,11.98,5338.845741561311,4909.786182685152,5792.695076518935,344.3,28.71906779661017,409.50122895092824,445.2873814105025,483.14016169160516,2304
1319,1602,Italy,11.96,5047.382088630542,4641.460294423694,5475.978915838274,327.6,27.354802259887006,387.49311865630557,421.3823132799984,457.16272028324397,2319
1320,1603,Italy,11.94,4755.918435699773,4373.134406162237,5159.262755157612,310.9,25.990536723163842,365.48500836168296,397.47724514949425,431.1852788748828,2427
1321,1604,Italy,11.92,4464.454782769004,4104.8085179007785,4842.546594476951,294.2,24.626271186440675,343.47689806706035,373.57217701899015,405.20783746652165,2350
1322,1605,Italy,11.9,4172.991129838236,3836.4826296393203,4525.83043379629,277.5,23.262005649717516,321.46878777243774,349.667108888486,379.23039605816047,2373
1323,1606,Italy,11.88,3881.5274769074667,3568.156741377862,4209.114273115629,260.8,21.89774011299435,299.46067747781507,325.7620407579818,353.2529546497993,2296
1324,1607,Italy,11.860000000000001,3590.0638239766977,3299.830853116404,3892.398112434968,244.10000000000002,20.533474576271185,277.45256718319246,301.8569726274777,327.27551324143815,2312
1325,1608,Italy,11.84,3298.6001710459286,3031.504964854946,3575.6819517543067,227.4,19.169209039548022,255.44445688856982,277.9519044969736,301.29807183307696,2389
1326,1609,Italy,11.82,3007.1365181151596,2763.179076593488,3258.9657910736455,210.70000000000002,17.80494350282486,233.43634659394718,254.04683636646945,275.3206304247158,2496
1327,1610,Italy,11.8,2715.672865184391,2494.85318833203,2942.2496303929843,194.0,16.440677966101696,211.42823629932457,230.14176823596532,249.3431890163546,2565
1328,1611,Italy,11.780000000000001,2809.8580136102128,2581.505351752255,3044.530606918168,198.6,16.865575686732907,219.2627818291704,238.65797373514988,258.5904166288986,2535
1329,1612,Italy,11.76,2904.0431620360346,2668.15751517248,3146.8115834433515,203.2,17.290473407364114,227.09732735901622,247.17417923433447,267.83764424144266,2496
1330,1613,Italy,11.74,2998.2283104618564,2754.8096785927055,3249.092559968535,207.8,17.715371127995326,234.93187288886205,255.69038473351904,277.08487185398667,2481
1331,1614,Italy,11.72,3092.4134588876777,2841.4618420129304,3351.373536493719,212.4,18.140268848626533,242.76641841870787,264.2065902327036,286.33209946653074,2511
1332,1615,Italy,11.7,3186.5986073134995,2928.1140054331554,3453.6545130189024,217.0,18.565166569257745,250.6009639485537,272.7227957318882,295.57932707907474,2465
1333,1616,Italy,11.68,3280.7837557393214,3014.7661688533803,3555.935489544086,221.6,18.990064289888956,258.4355094783995,281.23900123107273,304.82655469161875,2558
1334,1617,Italy,11.66,3374.968904165143,3101.4183322736053,3658.2164660692697,226.2,19.414962010520163,266.2700550082453,289.7552067302573,314.0737823041628,2511
1335,1618,Italy,11.64,3469.154052590965,3188.0704956938307,3760.4974425944533,230.8,19.839859731151375,274.1046005380912,298.2714122294419,323.3210099167068,2427
1336,1619,Italy,11.62,3563.3392010167863,3274.7226591140557,3862.778419119637,235.4,20.264757451782582,281.93914606793703,306.7876177286265,332.5682375292509,2450
1337,1620,Italy,11.6,3657.524349442608,3361.3748225342806,3965.0593956448206,240.0,20.689655172413794,289.77369159778283,315.30382322781105,341.8154651417949,2519
1338,1621,Italy,11.58,3555.796284841771,3267.5958942348943,3854.7972419153953,233.9,20.190865093768906,282.0558447146749,306.9334733912952,332.7430226482344,2627
1339,1622,Italy,11.56,3454.068220240934,3173.816965935508,3744.5350881859695,227.8,19.69207501512402,274.3379978315669,298.5631235547793,323.6705801546739,2588
1340,1623,Italy,11.54,3352.340155640097,3080.0380376361218,3634.272934456544,221.7,19.193284936479127,266.62015094845896,290.1927737182634,314.5981376611134,2581
1341,1624,Italy,11.52,3250.612091039259,2986.2591093367355,3524.0107807271183,215.6,18.69449485783424,258.902304065351,281.82242388174757,305.5256951675529,2604
1342,1625,Italy,11.5,3148.884026438422,2892.480181037349,3413.748626997693,209.5,18.195704779189352,251.18445718224308,273.45207404523165,296.45325267399244,2688
1343,1626,Italy,11.48,3047.155961837585,2798.701252737963,3303.486473268267,203.4,17.696914700544465,243.4666102991351,265.0817242087158,287.3808101804319,2642
1344,1627,Italy,11.46,2945.427897236748,2704.9223244385767,3193.224319538842,197.3,17.198124621899577,235.74876341602715,256.71137437219994,278.3083676868714,2542
1345,1628,Italy,11.44,2843.6998326359108,2611.1433961391904,3082.9621658094165,191.2,16.699334543254686,228.0309165329192,248.34102453568403,269.23592519331095,2442
1346,1629,Italy,11.42,2741.971768035073,2517.364467839804,2972.7000120799908,185.1,16.2005444646098,220.31306964981127,239.97067469916817,260.16348269975043,2404
1347,1630,Italy,11.4,2640.243703434236,2423.585539540418,2862.4378583505654,179.0,15.701754385964911,212.5952227667033,231.6003248626523,251.09104020618994,2558
1348,1631,Italy,11.38,2757.3975144186406,2530.267049922161,2990.159214396781,185.1,16.274436090225564,222.4999919485852,242.4740585663717,262.9431095678274,2703
1349,1632,Italy,11.36,2874.5513254030448,2636.9485603039043,3117.8805704429965,191.2,16.847117794486216,232.40476113046708,253.34779227009113,274.79517892946484,2857
1350,1633,Italy,11.34,2991.7051363874493,2743.6300706856473,3245.601926489212,197.3,17.419799498746865,242.30953031234898,264.22152597381057,286.6472482911023,2849
1351,1634,Italy,11.32,3108.8589473718534,2850.3115810673903,3373.3232825354276,203.4,17.992481203007518,252.2142994942309,275.09525967752995,298.4993176527397,2895
1352,1635,Italy,11.3,3226.012758356258,2956.9930914491333,3501.044638581643,209.5,18.56516290726817,262.11906867611276,285.9689933812494,310.35138701437717,2596
1353,1636,Italy,11.28,3343.166569340662,3063.674601830877,3628.765994627858,215.6,19.137844611528823,272.02383785799464,296.8427270849688,322.2034563760146,2657
1354,1637,Italy,11.26,3460.3203803250667,3170.35611221262,3756.4873506740737,221.7,19.710526315789476,281.92860703987657,307.7164607886882,334.05552573765203,2757
1355,1638,Italy,11.24,3577.4741913094713,3277.037622594363,3884.2087067202892,227.8,20.283208020050125,291.83337622175844,318.59019449240765,345.9075950992895,2880
1356,1639,Italy,11.219999999999999,3694.6280022938754,3383.7191329761063,4011.9300627665048,233.9,20.855889724310778,301.7381454036404,329.4639281961271,357.75966446092696,2880
