,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita,inclusive,restricted
509,1319,France,15.05,85.81232874959102,68.03734314429369,104.95752382014484,6.0,0.39870967741935487,4.523363089188497,5.705002216183166,6.977766366611043,1710,1,1
510,1320,France,15.0,87.17352004160227,69.15949127093428,106.595162077544,6.0,0.4,4.6106327513956185,5.811568002773485,7.106344138502934,1610,1,1
511,1321,France,14.95,84.77547057055847,67.28694479935443,103.6294750951067,5.9,0.39448275862068966,4.497390349050097,5.666225170297269,6.926318636743474,1610,1,1
512,1322,France,14.9,82.37742109951466,65.41439832777458,100.6637881126694,5.8,0.38896551724137934,4.384147946704574,5.520882337821053,6.746293134984016,1610,1,1
513,1323,France,14.85,79.97937162847086,63.541851856194725,97.69810113023209,5.7,0.383448275862069,4.270905544359052,5.375539505344837,6.566267633224556,1643,1,1
514,1324,France,14.8,77.58132215742705,61.66930538461487,94.73241414779478,5.6,0.37793103448275867,4.15766314201353,5.230196672868621,6.386242131465097,1659,1,1
515,1325,France,14.75,75.18327268638325,59.79675891303502,91.76672716535748,5.5,0.3724137931034483,4.044420739668007,5.084853840392405,6.206216629705638,1728,1,1
516,1326,France,14.7,72.78522321533944,57.92421244145517,88.80104018292018,5.4,0.36689655172413793,3.9311783373224856,4.939511007916189,6.026191127946179,1728,1,1
517,1327,France,14.65,70.38717374429562,56.051665969875316,85.83535320048287,5.3,0.3613793103448276,3.8179359349769637,4.794168175439973,5.846165626186719,1694,1,1
518,1328,France,14.6,67.98912427325182,54.179119498295464,82.86966621804557,5.2,0.35586206896551725,3.7046935326314414,4.648825342963757,5.66614012442726,1677,1,1
519,1329,France,14.55,65.59107480220801,52.30657302671561,79.90397923560826,5.1,0.35034482758620694,3.591451130285919,4.503482510487541,5.4861146226678015,1643,1,1
520,1330,France,14.5,63.19302533116421,50.43402655513576,76.93829225317096,5.0,0.3448275862068966,3.4782087279403973,4.358139678011325,5.306089120908342,1610,1,1
521,1331,France,14.45,61.99971952674739,49.507988157471225,75.45137427855147,5.0,0.34605911330049266,3.424485302135575,4.288468333688735,5.218831012438765,1575,1,1
522,1332,France,14.4,60.806413722330575,48.5819497598067,73.96445630393198,5.0,0.3472906403940887,3.3707618763307527,4.2187969893661466,5.1315729039691895,1575,1,1
523,1333,France,14.35,59.61310791791376,47.65591136214216,72.4775383293125,5.0,0.3485221674876847,3.3170384505259305,4.149125645043557,5.044314795499613,1592,1,1
524,1334,France,14.3,58.41980211349694,46.72987296447763,70.99062035469301,5.0,0.3497536945812808,3.2633150247211082,4.079454300720967,4.957056687030037,1677,1,1
525,1335,France,14.25,57.22649630908013,45.803834566813094,69.50370238007352,5.0,0.3509852216748769,3.209591598916286,4.009782956398379,4.86979857856046,1694,1,1
526,1336,France,14.2,56.03319050466331,44.87779616914857,68.01678440545405,5.0,0.3522167487684729,3.1558681731114637,3.940111612075789,4.7825404700908845,1710,1,1
527,1337,France,14.15,54.8398847002465,43.95175777148403,66.52986643083456,5.0,0.35344827586206895,3.102144747306641,3.8704402677532,4.695282361621308,1745,1,1
528,1338,France,14.1,53.646578895829684,43.0257193738195,65.04294845621507,5.0,0.35467980295566504,3.0484213215018188,3.800768923430611,4.608024253151731,1710,1,1
529,1339,France,14.05,52.45327309141287,42.09968097615497,63.556030481595585,5.0,0.3559113300492611,2.9946978956969965,3.731097579108021,4.520766144682155,1694,1,1
530,1340,France,14.0,51.25996728699605,41.17364257849044,62.0691125069761,5.0,0.35714285714285715,2.9409744698921743,3.661426234785432,4.4335080362125785,1677,1,1
531,1341,France,13.95,92.86732211292693,74.87827146928626,112.21661606639051,7.8,0.5658730158730159,5.448506145024799,6.7570133560943315,8.164558329636655,1677,1,1
532,1342,France,13.9,134.47467693885778,108.5829003600821,162.36411962580493,10.6,0.7746031746031746,7.956037820157423,9.852600477403232,11.895608623060733,1659,1,1
533,1343,France,13.85,176.08203176478867,142.28752925087792,212.51162318521935,13.399999999999999,0.9833333333333334,10.463569495290049,12.948187598712133,15.62665891648481,1677,1,1
534,1344,France,13.8,217.68938659071952,175.99215814167377,262.6591267446338,16.2,1.192063492063492,12.971101170422672,16.04377472002103,19.357709209908887,1677,1,1
535,1345,France,13.75,259.29674141665043,209.69678703246962,312.8066303040482,19.0,1.400793650793651,15.478632845555298,19.13936184132993,23.088759503332966,1677,1,1
536,1346,France,13.7,300.90409624258126,243.40141592326543,362.95413386346263,21.799999999999997,1.6095238095238096,17.98616452068792,22.234948962638832,26.819809796757042,1728,1,1
537,1347,France,13.65,342.51145106851214,277.10604481406125,413.10163742287705,24.599999999999998,1.8182539682539685,20.493696195820547,25.33053608394773,30.55086009018112,1795,1,1
538,1348,France,13.6,384.118805894443,310.8106737048571,463.24914098229146,27.4,2.026984126984127,23.001227870953173,28.42612320525663,34.281910383605194,1846,1,1
539,1349,France,13.55,425.7261607203739,344.51530259565294,513.3966445417059,30.2,2.2357142857142858,25.5087595460858,31.52171032656553,38.01296067702928,1846,1,1
540,1350,France,13.5,467.3335155463048,378.21993148644873,563.5441481011203,33.0,2.4444444444444446,28.016291221218424,34.61729744787443,41.74401097045335,1897,1,1
541,1351,France,13.45,429.7960863542928,347.8976614630532,518.2126397522085,30.6,2.2692307692307696,25.791563877961917,31.86294634636533,38.4175257550388,1897,1,1
542,1352,France,13.4,392.2586571622809,317.5753914396577,472.88113140329676,28.2,2.094017094017094,23.56683653470541,29.108595244856236,35.09104053962426,1881,1,1
543,1353,France,13.35,354.7212279702689,287.25312141626216,427.54962305438494,25.8,1.918803418803419,21.342109191448902,26.354244143347138,31.76455532420971,1881,1,1
544,1354,France,13.3,317.1837987782569,256.93085139286666,382.21811470547317,23.4,1.7435897435897436,19.117381848192395,23.599893041838044,28.438070108795163,1948,1,1
545,1355,France,13.25,279.64636958624493,226.60858136947115,336.8866063565614,21.0,1.5683760683760686,16.892654504935887,20.845541940328946,25.111584893380616,1948,1,1
546,1356,France,13.2,242.10894039423297,196.28631134607565,291.5550980076496,18.6,1.3931623931623933,14.66792716167938,18.09119083881985,21.785099677966066,1914,1,1
547,1357,France,13.15,204.57151120222102,165.96404132268012,246.2235896587378,16.2,1.217948717948718,12.443199818422872,15.336839737310754,18.45861446255152,1897,1,1
548,1358,France,13.1,167.03408201020903,135.6417712992846,200.89208130982604,13.8,1.0427350427350428,10.218472475166365,12.582488635801656,15.132129247136973,1897,1,1
549,1359,France,13.05,129.49665281819705,105.31950127588908,155.56057296091427,11.400000000000002,0.8675213675213675,7.993745131909858,9.828137534292559,11.805644031722426,1863,1,1
550,1360,France,13.0,91.95922362618504,74.99723125249356,110.22906461200246,9.0,0.6923076923076923,5.769017788653351,7.073786432783464,8.479158816307882,1846,1,1
551,1361,France,12.95,89.40357498346958,72.94250821412066,107.12581970044526,8.6,0.6630769230769231,5.627716016738132,6.8976296870973615,8.264815858648538,1846,1,1
552,1362,France,12.9,86.84792634075411,70.88778517574775,104.02257478888806,8.2,0.6338461538461538,5.486414244822913,6.721472941411259,8.050472900989194,1863,1,1
553,1363,France,12.85,84.29227769803866,68.83306213737485,100.91932987733087,7.8,0.6046153846153846,5.345112472907695,6.545316195725156,7.8361299433298495,1863,1,1
554,1364,France,12.8,81.73662905532319,66.77833909900194,97.81608496577367,7.4,0.5753846153846154,5.2038107009924754,6.369159450039053,7.621786985670505,1881,1,1
555,1365,France,12.75,79.18098041260774,64.72361606062904,94.71284005421649,7.0,0.5461538461538462,5.062508929077256,6.193002704352949,7.407444028011161,1881,1,1
556,1366,France,12.7,76.62533176989228,62.668893022256135,91.60959514265929,6.6,0.5169230769230769,4.921207157162037,6.016845958666847,7.193101070351817,1863,1,1
557,1367,France,12.65,74.06968312717682,60.61416998388323,88.50635023110209,6.199999999999999,0.4876923076923077,4.779905385246818,5.8406892129807435,6.978758112692472,1863,1,1
558,1368,France,12.6,71.51403448446136,58.55944694551033,85.40310531954489,5.8,0.4584615384615385,4.638603613331599,5.664532467294641,6.764415155033128,1881,1,1
559,1369,France,12.55,68.9583858417459,56.50472390713742,82.2998604079877,5.4,0.42923076923076925,4.49730184141638,5.488375721608538,6.550072197373784,1897,1,1
560,1370,France,12.5,66.40273719903044,54.45000086876452,79.1966154964305,5.0,0.4,4.356000069501161,5.312218975922435,6.33572923971444,1914,1,1
561,1371,France,12.45,75.85558051654533,62.27897808586314,90.38324078695395,5.7,0.46,5.026564837882301,6.122090164781686,7.2943468857568705,1897,1,1
562,1372,France,12.4,85.30842383406022,70.10795530296176,101.56986607747739,6.4,0.52,5.69712960626344,6.931961353640937,8.2529645317993,1897,1,1
563,1373,France,12.35,94.76126715157513,77.93693252006037,112.75649136800084,7.1,0.5800000000000001,6.3676943746445795,7.741832542500188,9.21158217784173,1881,1,1
564,1374,France,12.3,104.21411046909002,85.76590973715898,123.94311665852427,7.8,0.64,7.038259143025719,8.551703731359439,10.170199823884161,1863,1,1
565,1375,France,12.25,113.6669537866049,93.59488695425759,135.12974194904774,8.5,0.7,7.708823911406859,9.36157492021869,11.128817469926592,1863,1,1
566,1376,France,12.2,123.11979710411981,101.42386417135621,146.31636723957118,9.2,0.76,8.379388679787997,10.171446109077941,12.087435115969022,1846,1,1
