,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita
278,1670,Portugal,1.85,164.32232240737565,123.71302931802693,209.3319946215784,6,3.243243243243243,66.87190773947401,88.8228769769598,113.1524295251775,re_portugal,1718
279,1680,Portugal,1.9,150.6201092360338,113.40951984349267,192.17870152123533,14,7.36842105263158,59.689220970259306,79.27374170317569,101.14668501117649,re_portugal,1609
280,1690,Portugal,1.95,95.9147683914642,72.08768271180811,122.4574785085758,2,1.0256410256410258,36.96804241631185,49.187060713571384,62.798706927474775,re_portugal,1954
281,1700,Portugal,2.0,260.7027110032444,195.5019279805353,332.66538078588087,11,5.5,97.75096399026765,130.3513555016222,166.33269039294044,re_portugal,1572
282,1710,Portugal,2.05,206.24488742336615,154.78041526032982,262.9595208187455,10,4.878048780487806,75.50264159040479,100.6072621577396,128.2729369847539,re_portugal,1352
283,1720,Portugal,2.1,193.02256518148573,144.99716329580096,246.76182746713496,13,6.19047619047619,69.0462682360957,91.91550722927892,117.50563212720712,re_portugal,1850
284,1730,Portugal,2.15,235.18195632490836,177.33761257686544,300.62308411072945,8,3.7209302325581395,82.48261050086765,109.38695643018994,139.8246902840602,re_portugal,1985
285,1740,Portugal,2.2,291.70445283518745,220.7909308274261,371.8144526871384,23,10.454545454545453,100.3595140124664,132.5929331069034,169.0065694032447,re_portugal,1889
286,1750,Portugal,2.25,362.8909449703677,275.8542854082588,460.3506925368829,19,8.444444444444445,122.60190462589281,161.2848644312745,204.60030779417016,re_portugal,2184
287,1760,Portugal,2.35,266.67020674364534,204.05232713524396,336.7015588143309,17,7.234042553191489,86.83077750435913,113.47668372070014,143.27725906992802,re_portugal,2152
288,1770,Portugal,2.45,381.4038070162182,293.9401805671435,478.9445008132901,22,8.979591836734693,119.97558390495652,155.6750232719258,195.4875513523633,re_portugal,1941
289,1780,Portugal,2.55,555.045401437518,430.9523245470824,694.9583543050373,29,11.372549019607844,169.00091158709117,217.6648633088306,272.5326879627598,re_portugal,1887
290,1790,Portugal,2.65,330.1841363120184,257.19868156454606,411.77124372846674,21,7.9245283018867925,97.0561062507721,124.59778728755411,155.38537499187424,re_portugal,1748
291,1800,Portugal,2.75,377.0421243406289,295.2671618085203,468.209319777761,26,9.454545454545455,107.36987702128012,137.10622703295596,170.25793446464036,re_portugal,1459
