,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita
4647,1546,United Kingdom,4.572,633.6151659601205,529.8059329799256,747.3185388461184,49.0,10.738170649774451,116.09903746016705,138.85123989435613,163.77103615500786,re_united_kingdom,1705
4648,1547,United Kingdom,4.579,601.6853417198569,503.51843254861546,709.3247808851263,46.5,10.173193204722143,110.15340479374947,131.6327706272381,155.18390249680755,re_united_kingdom,1841
4649,1548,United Kingdom,4.585999999999999,569.7555174795933,477.2309321173053,671.3310229241342,44.0,9.608215759669836,104.2077721273319,124.41430136012005,146.5967688386072,re_united_kingdom,1755
4650,1549,United Kingdom,4.593,537.8256932393298,450.9434316859952,633.3372649631422,41.5,9.043238314617527,98.26213946091434,117.19583209300201,138.00963518040686,re_united_kingdom,1678
4651,1550,United Kingdom,4.6,505.89586899906624,424.6559312546851,595.3435070021501,39.0,8.478260869565219,92.31650679449676,109.97736282588397,129.42250152220655,re_united_kingdom,1654
4652,1551,United Kingdom,4.606999999999999,529.958127995642,445.40618518351056,623.1260773131539,41.6,9.022297737640816,96.62144006671603,114.96503251684642,135.17766486275224,re_united_kingdom,1604
4653,1552,United Kingdom,4.614,554.0203869922178,466.156439112336,650.9086476241578,44.2,9.566334605716415,100.92637333893529,119.95270220780887,140.93282820329793,re_united_kingdom,1528
4654,1553,United Kingdom,4.6209999999999996,578.0826459887937,486.9066930411615,678.6912179351616,46.8,10.110371473792013,105.23130661115457,124.9403718987713,146.68799154384362,re_united_kingdom,1781
4655,1554,United Kingdom,4.628,602.1449049853695,507.65694696998696,706.4737882461656,49.4,10.654408341867612,109.53623988337384,129.92804158973377,152.44315488438934,re_united_kingdom,1616
4656,1555,United Kingdom,4.635,626.2071639819453,528.4072008988124,734.2563585571694,52.0,11.198445209943209,113.84117315559311,134.9157112806962,158.19831822493504,re_united_kingdom,1599
4657,1556,United Kingdom,4.6419999999999995,650.2694229785211,549.1574548276378,762.0389288681732,54.6,11.742482078018806,118.14610642781237,139.90338097165863,163.95348156548073,re_united_kingdom,1295
4658,1557,United Kingdom,4.649,674.3316819750969,569.9077087564633,789.8214991791771,57.2,12.286518946094404,122.45103970003164,144.8910506626211,169.70864490602642,re_united_kingdom,1419
4659,1558,United Kingdom,4.656,698.3939409716727,590.6579626852888,817.604069490181,59.8,12.830555814170003,126.7559729722509,149.87872035358353,175.4638082465721,re_united_kingdom,1843
4660,1559,United Kingdom,4.663,722.4561999682486,611.4082166141143,845.3866398011849,62.400000000000006,13.374592682245602,131.06090624447017,154.866390044546,181.21897158711784,re_united_kingdom,1744
4661,1560,United Kingdom,4.67,746.5184589648244,632.1584705429398,873.1692101121887,65.0,13.9186295503212,135.36583951668945,159.85405973550843,186.97413492766353,re_united_kingdom,1753
4662,1561,United Kingdom,4.677,729.8253397889628,618.3094704397585,853.1140270516987,63.2,13.518327776723678,132.2442021791793,156.0962332388818,182.46696150889062,re_united_kingdom,1778
4663,1562,United Kingdom,4.684,713.1322206131013,604.460470336577,833.0588439912088,61.4,13.118026003126158,129.12256484166912,152.33840674225522,177.9597880901177,re_united_kingdom,1762
4664,1563,United Kingdom,4.691,696.4391014372396,590.6114702333957,813.0036609307189,59.6,12.717724229528638,126.00092750415895,148.5805802456286,173.4526146713448,re_united_kingdom,1913
4665,1564,United Kingdom,4.6979999999999995,679.7459822613781,576.7624701302143,792.948477870229,57.8,12.317422455931117,122.87929016664879,144.822753749002,168.9454412525719,re_united_kingdom,1843
4666,1565,United Kingdom,4.705,663.0528630855165,562.913470027033,772.893294809739,56.0,11.917120682333596,119.75765282913864,141.06492725237538,164.438267833799,re_united_kingdom,1839
4667,1566,United Kingdom,4.712,646.359743909655,549.0644699238516,752.838111749249,54.2,11.516818908736075,116.63601549162846,137.30710075574876,159.9310944150261,re_united_kingdom,2056
4668,1567,United Kingdom,4.718999999999999,629.6666247337934,535.2154698206703,732.7829286887592,52.4,11.116517135138555,113.5143781541183,133.54927425912217,155.4239209962532,re_united_kingdom,1920
4669,1568,United Kingdom,4.725999999999999,612.9735055579317,521.3664697174888,712.7277456282692,50.6,10.716215361541035,110.39274081660814,129.79144776249555,150.9167475774803,re_united_kingdom,1911
4670,1569,United Kingdom,4.733,596.2803863820702,507.5174696143075,692.6725625677793,48.8,10.315913587943514,107.27110347909797,126.03362126586896,146.4095741587074,re_united_kingdom,1895
4671,1570,United Kingdom,4.739999999999999,579.5872672062086,493.66846951112615,672.6173795072893,47.0,9.915611814345993,104.14946614158781,122.27579476924234,141.90240073993448,re_united_kingdom,1737
4672,1571,United Kingdom,4.747,663.44720718759,565.713220737742,769.2009563968692,54.5,11.46043316929393,118.97601603007529,139.53234558379467,161.77563568471624,re_united_kingdom,1737
4673,1572,United Kingdom,4.754,747.3071471689716,637.7579719643579,865.7845332864491,62.0,13.005254524241867,133.80256591856275,156.78889639834702,181.64887062949802,re_united_kingdom,1675
4674,1573,United Kingdom,4.760999999999999,831.167087150353,709.8027231909737,962.368110176029,69.5,14.550075879189803,148.62911580705023,174.04544721289935,201.52210557427978,re_united_kingdom,1914
4675,1574,United Kingdom,4.768,915.0270271317345,781.8474744175896,1058.951687065609,77.0,16.09489723413774,163.4556656955377,191.3019980274517,221.39534051906156,re_united_kingdom,1689
4676,1575,United Kingdom,4.775,998.8869671131159,853.8922256442054,1155.5352639551888,84.5,17.639718589085675,178.28221558402515,208.55854884200403,241.26857546384332,re_united_kingdom,1876
4677,1576,United Kingdom,4.782,1082.7469070944974,925.9369768708214,1252.1188408447686,92.0,19.184539944033613,193.10876547251263,225.81509965655636,261.1418104086251,re_united_kingdom,1929
4678,1577,United Kingdom,4.789,1166.606847075879,997.9817280974371,1348.7024177343485,99.5,20.72936129898155,207.9353153610001,243.07165047110868,281.0150453534069,re_united_kingdom,1630
4679,1578,United Kingdom,4.796,1250.4667870572603,1070.026479324053,1445.2859946239282,107.0,22.274182653929486,222.76186524948758,260.32820128566107,300.88828029818865,re_united_kingdom,1854
4680,1579,United Kingdom,4.803000000000001,1334.3267270386418,1142.0712305506688,1541.8695715135082,114.5,23.81900400887742,237.58841513797506,277.58475210021334,320.7615152429704,re_united_kingdom,1820
4681,1580,United Kingdom,4.8100000000000005,1418.1866670200234,1214.1159817772848,1638.453148403088,122.0,25.36382536382536,252.4149650264625,294.8413029147657,340.63475018775216,re_united_kingdom,1716
4682,1581,United Kingdom,4.817,1343.573119051714,1150.597913657503,1551.8849953002793,116.7,24.241377253672333,239.03689681437916,279.1287133474066,322.4067591315794,re_united_kingdom,1654
4683,1582,United Kingdom,4.824000000000001,1268.9595710834046,1087.0798455377217,1465.3168421974706,111.4,23.118929143519303,225.65882860229578,263.4161237800474,304.17876807540665,re_united_kingdom,1476
4684,1583,United Kingdom,4.831,1194.3460231150952,1023.56177741794,1378.7486890946616,106.1,21.996481033366276,212.28076039021244,247.70353421268825,285.9507770192339,re_united_kingdom,1661
4685,1584,United Kingdom,4.838,1119.7324751467859,960.0437092981584,1292.180535991853,100.8,20.87403292321325,198.9026921781291,231.99094464532908,267.72278596306114,re_united_kingdom,1597
4686,1585,United Kingdom,4.845000000000001,1045.1189271784765,896.5256411783769,1205.612382889044,95.5,19.75158481306022,185.5246239660457,216.27835507796993,249.4947949068884,re_united_kingdom,1396
