,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
13,1860,United Kingdom,24.3,12655.413432865726,12110.796830493768,13214.802306531778,1846,75.96707818930041,498.3867008433649,520.7989067022933,543.8190249601554,re_united_kingdom,GBR,5086
14,1870,United Kingdom,27.6,10072.58861759213,9622.13730226193,10531.236924581632,1457,52.789855072463766,348.62816312543225,364.94886295623655,381.5665552384649,re_united_kingdom,GBR,5829
15,1880,United Kingdom,30.9,14551.7726507404,13856.485577606898,15266.317781490525,2107,68.18770226537217,448.4299539678608,470.93115374564405,494.0555916339976,re_united_kingdom,GBR,5997
16,1820,Low countries,6.15,2476.851859563633,2347.1525901320933,2610.263808447017,338,54.95934959349593,381.65082766375497,402.7401397664443,424.43313958488073,re_low_countries,NLD,3006
17,1830,Low countries,6.6,2770.9763751031496,2626.857263544492,2919.275562909444,381,57.727272727272734,398.00867629462005,419.8449053186591,442.31447922870365,re_low_countries,NLD,3038
18,1840,Low countries,7.05,5584.698250689894,5292.329594349827,5882.912968612111,799,113.33333333333334,750.6850488439471,792.1557802397012,834.4557402286683,re_low_countries,NLD,3623
19,1850,Low countries,7.5,5798.885883926558,5501.23997046242,6106.112885058319,841,112.13333333333334,733.4986627283228,773.184784523541,814.1483846744426,re_low_countries,NLD,3779
20,1860,Low countries,8.45,7706.74331871502,7305.52082102327,8112.84622745522,1120,132.54437869822488,864.558677044174,912.0406294337303,960.1001452609729,re_low_countries,NLD,3840
21,1870,Low countries,9.4,7025.722276545605,6655.687725706913,7406.450765623924,939,99.8936170212766,708.0518857135013,747.4172634622984,787.9202942153111,re_low_countries,NLD,4422
22,1880,Low countries,10.35,9344.651519524192,8831.81806363609,9885.071799390736,1253,121.06280193236715,853.3157549406851,902.8648811134485,955.0794009073176,re_low_countries,NLD,4666
23,1820,France,31.8,8157.418134222544,7858.092705550782,8462.637217463596,1105,34.74842767295598,247.1098335078862,256.5225828371869,266.12066721583636,re_france,FRA,1809
24,1830,France,33.2,9473.148242765095,9137.669157338098,9819.291895072827,1314,39.57831325301205,275.2309987150029,285.33579044473174,295.7618040684586,re_france,FRA,1898
25,1840,France,34.6,15965.343440803796,15414.563714690865,16534.262900109483,2228,64.39306358381502,445.5076218118747,461.42611100589005,477.86886994536076,re_france,FRA,2276
26,1850,France,36.0,15562.28722724766,15015.291427886044,16116.538050725412,2148,59.666666666666664,417.09142855239014,432.285756312435,447.68161252015034,re_france,FRA,2546
27,1860,France,37.0,20101.3668258854,19368.28006053332,20846.14499060297,2799,75.64864864864865,523.4670286630627,543.2801844833892,563.4093240703505,re_france,FRA,3016
28,1870,France,38.0,14586.682192335016,14016.93274559041,15164.810772651976,1986,52.26315789473684,368.8666511997476,383.86005769302676,399.0739677013678,re_france,FRA,2990
29,1880,France,39.0,21694.95868531137,20744.49796737869,22640.36809905346,3033,77.76923076923077,531.9102042917613,556.2809919310607,580.5222589500887,re_france,FRA,3379
30,1810,Italy,20.2,5753.881476817995,5446.641671810335,6067.68368243844,437,21.633663366336634,269.6357263272443,284.8456176642572,300.38038031873464,re_italy,ITA,2558
31,1820,Italy,21.4,6982.651802008232,6614.140032876223,7356.083304266687,542,25.32710280373832,309.07196415309454,326.29214028075853,343.74221047975175,re_italy,ITA,2665
32,1830,Italy,22.6,6689.542840135289,6345.163299330177,7041.892398262343,523,23.141592920353983,280.75943802345915,295.9974708024464,311.58815921514787,re_italy,ITA,2657
33,1840,Italy,23.8,13140.038868103977,12466.412740525571,13824.227622694518,1040,43.69747899159664,523.7988546439316,552.1024734497469,580.849900113215,re_italy,ITA,2711
34,1850,Italy,25.0,12030.19522409102,11410.276126309527,12656.744225891509,950,38.0,456.4110450523811,481.2078089636408,506.2697690356604,re_italy,ITA,2611
35,1860,Italy,26.8,15425.595666993298,14622.16291814908,16230.204315018604,1226,45.74626865671642,545.6030939607866,575.5819278728843,605.6046386200971,re_italy,ITA,2573
36,1870,Italy,28.6,12361.031838495408,11702.750278379095,13028.539916866412,1000,34.96503496503497,409.18707267059773,432.20391043690233,455.5433537365878,re_italy,ITA,2826
37,1880,Italy,30.4,18507.408745623627,17469.92158644845,19560.505019860764,1478,48.61842105263158,574.6684732384359,608.7963403165667,643.4376651269988,re_italy,ITA,2796
38,1820,Eastern Europe,33.75,20215.998350564303,19041.703801571646,21462.85473740494,951,28.177777777777777,564.1986311576784,598.9925437204238,635.9364366638501,re_eastern_europe,POL,818
39,1830,Eastern Europe,36.0,20037.48091383749,18904.415281094505,21251.367281638974,977,27.13888888888889,525.1226466970696,556.5966920510414,590.3157578233048,re_eastern_europe,POL,942
40,1840,Eastern Europe,38.25,32381.722926227405,30549.62528377879,34298.31279263415,1588,41.51633986928105,798.6830139550011,846.580991535357,896.687916147298,re_eastern_europe,POL,907
41,1850,Eastern Europe,40.5,34105.88751492406,32184.32324948164,36115.93341999757,1640,40.49382716049383,794.6746481353491,842.120679380841,891.7514424690759,re_eastern_europe,POL,985
42,1860,Eastern Europe,45.1,46752.41859971635,44050.69868572918,49501.66855347696,2284,50.6430155210643,976.7338954707135,1036.6389933418259,1097.597972360908,re_eastern_europe,POL,1358
43,1870,Eastern Europe,49.7,45703.398043964,42974.14455451114,48455.997023764096,2259,45.452716297786715,864.6709165897613,919.5854737216096,974.9697590294586,re_eastern_europe,POL,1575
44,1880,Eastern Europe,54.3,75573.1257129096,70854.39411645565,80385.54658492669,3748,69.02394106813996,1304.869136582977,1391.770270955978,1480.3968063522411,re_eastern_europe,POL,1886
