,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
162,1841,Italy,23.92,15205.532184129008,14166.43536923248,16252.201440034984,1041.2,43.557512605042014,592.657741520595,636.1201597405131,679.8996575985843,re_italy,ITA,2765
163,1842,Italy,24.04,15040.852272577578,14008.616648630696,16080.419548287515,1030.4,42.91334453781513,583.4560675019352,626.4330885700833,669.7159819289983,re_italy,ITA,2788
164,1843,Italy,24.16,14876.172361026147,13850.797928028913,15908.637656540046,1019.6,42.269176470588235,574.2543934832755,616.7460173996535,659.5323062594123,re_italy,ITA,2650
165,1844,Italy,24.28,14711.492449474716,13692.97920742713,15736.855764792577,1008.8,41.62500840336134,565.0527194646157,607.0589462292238,649.3486305898264,re_italy,ITA,2650
166,1845,Italy,24.4,14546.812537923284,13535.160486825345,15565.073873045108,998.0,40.98084033613445,555.851045445956,597.3718750587941,639.1649549202405,re_italy,ITA,2673
167,1846,Italy,24.52,14382.132626371855,13377.341766223562,15393.29198129764,987.2,40.33667226890756,546.6493714272963,587.6848038883643,628.9812792506544,re_italy,ITA,2650
168,1847,Italy,24.64,14217.452714820423,13219.52304562178,15221.510089550171,976.4,39.69250420168067,537.4476974086365,577.9977327179345,618.7976035810684,re_italy,ITA,2588
169,1848,Italy,24.76,14052.772803268992,13061.704325019997,15049.728197802702,965.6,39.04833613445378,528.2460233899767,568.3106615475048,608.6139279114825,re_italy,ITA,2657
170,1849,Italy,24.88,13888.092891717562,12903.885604418212,14877.946306055233,954.8,38.40416806722689,519.0443493713169,558.6235903770751,598.4302522418966,re_italy,ITA,2642
171,1850,Italy,25.0,13723.412980166131,12746.06688381643,14706.164414307765,944.0,37.76,509.8426753526572,548.9365192066452,588.2465765723106,re_italy,ITA,2611
172,1851,Italy,25.18,14124.20729743689,13103.227100269885,15149.652251578123,972.9,38.584746268656716,519.7452326246713,560.204643975808,600.8437203591518,re_italy,ITA,2611
173,1852,Italy,25.36,14525.00161470765,13460.387316723341,15593.140088848484,1001.8,39.40949253731343,529.6477898966854,571.4727687449708,613.4408641459929,re_italy,ITA,2573
174,1853,Italy,25.54,14925.79593197841,13817.547533176798,16036.627926118843,1030.7,40.23423880597015,539.5503471686995,582.7408935141336,626.0380079328341,re_italy,ITA,2519
175,1854,Italy,25.72,15326.590249249168,14174.707749630254,16480.115763389203,1059.6,41.05898507462687,549.4529044407136,594.0090182832964,638.6351517196753,re_italy,ITA,2350
