,individual_wikidata_id,decade,region_name,count_works,occupation
539,Q18736286,1820,France,0.0,Science
540,Q4192221,1880,Eastern Europe,0.0,Music
542,Q98643095,1870,Italy,0.0,Music
543,Q52154590,1830,France,0.0,Work of art
544,Q102278226,1810,Italy,0.0,Music
545,Q110215401,1860,Italy,0.0,Science
546,Q2861369,1860,France,0.0,Written work
548,Q94881018,1840,Eastern Europe,0.0,Written work
549,Q11007547,1860,France,0.0,Science
551,Q20898005,1880,France,0.0,Work of art
552,Q47516134,1860,Eastern Europe,0.0,Written work
553,Q12881002,1870,Eastern Europe,0.0,Written work
554,Q67147,1810,Eastern Europe,0.0,Science
555,Q27019740,1850,Low countries,4.0,Work of art
556,Q577704,1840,Eastern Europe,5.0,Science
557,Q577704,1840,Eastern Europe,5.0,Written work
559,Q1449901,1830,Eastern Europe,0.0,Science
560,Q18508424,1810,United Kingdom,3.0,Work of art
561,Q100279776,1850,Eastern Europe,0.0,Work of art
562,Q51687476,1880,Italy,0.0,Work of art
563,Q311223,1820,United Kingdom,1.0,Science
568,Q29559691,1830,Low countries,0.0,Sculpture
569,Q355761,1870,France,0.0,Written work
570,Q375106,1810,United Kingdom,0.0,Music
571,Q375106,1810,United Kingdom,0.0,Theater
572,Q375106,1810,United Kingdom,0.0,Science
573,Q17309003,1860,United Kingdom,1.0,Written work
575,Q16440108,1850,Low countries,0.0,Work of art
576,Q821419,1860,Eastern Europe,0.0,Architecture
577,Q6238537,1830,Nordic countries,0.0,Science
579,Q3300551,1860,France,0.0,Written work
580,Q21506281,1850,Low countries,0.0,Work of art
582,Q2093141,1850,France,0.0,Science
583,Q97961715,1870,France,0.0,Written work
584,Q16037778,1880,Italy,2.0,Work of art
585,Q16191230,1810,France,0.0,Music
588,Q28665252,1880,Eastern Europe,0.0,Science
589,Q17350206,1860,France,0.0,Science
590,Q2645983,1850,Nordic countries,0.0,Written work
591,Q21461669,1880,United Kingdom,0.0,Work of art
592,Q6849421,1880,Eastern Europe,1.0,Written work
593,Q50019789,1850,France,0.0,Music
594,Q56760532,1860,Nordic countries,0.0,Music
595,Q58307957,1810,Italy,0.0,Science
596,Q2566180,1840,Nordic countries,0.0,Architecture
597,Q15449332,1880,Italy,3.0,Work of art
598,Q1107072,1830,France,2.0,Science
599,Q27506889,1860,Low countries,0.0,Work of art
601,Q29420187,1870,Nordic countries,0.0,Work of art
602,Q29420187,1870,Nordic countries,0.0,Sculpture
603,Q18346220,1860,United Kingdom,3.0,Sculpture
604,Q4722965,1850,United Kingdom,0.0,Written work
605,Q3016579,1820,France,0.0,Science
606,Q3161118,1810,United Kingdom,0.0,Science
607,Q110176393,1840,France,1.0,Work of art
608,Q97016556,1870,France,0.0,Work of art
609,Q8008651,1810,United Kingdom,0.0,Written work
610,Q1003516,1860,Eastern Europe,0.0,Music
612,Q4768731,1840,United Kingdom,6.0,Work of art
615,Q4768731,1840,United Kingdom,6.0,Science
617,Q4693225,1850,Eastern Europe,0.0,Written work
618,Q12348393,1850,Eastern Europe,1.0,Science
619,Q730769,1870,France,73.0,Written work
620,Q10540342,1860,Nordic countries,0.0,Music
622,Q9145532,1840,Italy,0.0,Written work
624,Q46457599,1870,United Kingdom,0.0,Work of art
625,Q107595910,1820,Italy,0.0,Work of art
626,Q12789234,1880,Eastern Europe,0.0,Written work
627,Q98177892,1860,France,0.0,Work of art
628,Q98177892,1860,France,0.0,Sculpture
630,Q4167251,1860,Eastern Europe,0.0,Architecture
631,Q15065586,1820,Eastern Europe,0.0,Architecture
632,Q7787884,1840,France,0.0,Science
633,Q1029257,1840,France,27.0,Work of art
634,Q16030282,1860,United Kingdom,0.0,Architecture
635,Q12330591,1870,Nordic countries,0.0,Written work
636,Q5721319,1850,Italy,0.0,Music
637,Q1385633,1810,France,8.0,Science
638,Q7791831,1840,United Kingdom,0.0,Architecture
639,Q4126430,1880,Eastern Europe,0.0,Science
640,Q12017262,1810,Eastern Europe,0.0,Work of art
641,Q19916830,1810,Eastern Europe,0.0,Architecture
642,Q21289237,1860,Low countries,3.0,Work of art
643,Q98480656,1870,Eastern Europe,0.0,Music
644,Q15843903,1810,Eastern Europe,0.0,Science
645,Q1786150,1860,Nordic countries,0.0,Science
646,Q175130,1870,France,424.0,Work of art
647,Q2351239,1860,United Kingdom,39.0,Work of art
648,Q2351239,1860,United Kingdom,39.0,Science
649,Q274922,1880,France,0.0,Music
651,Q3839274,1840,Italy,0.0,Theater
652,Q25455712,1850,Eastern Europe,1.0,Work of art
653,Q18527540,1820,United Kingdom,0.0,Science
655,Q5218917,1830,United Kingdom,29.0,Work of art
656,Q2847075,1880,France,0.0,Sculpture
657,Q21328737,1880,France,2.0,Sculpture
658,Q5402148,1840,Nordic countries,0.0,Written work
659,Q3482506,1870,Nordic countries,0.0,Written work
660,Q18011901,1870,France,0.0,Written work
661,Q823013,1830,Italy,0.0,Science
662,Q823013,1830,Italy,0.0,Written work
663,Q518407,1830,United Kingdom,0.0,Science
664,Q59858575,1850,Italy,0.0,Science
665,Q2959368,1860,France,1.0,Work of art
666,Q49487146,1830,Nordic countries,1.0,Work of art
667,Q11892294,1810,Nordic countries,0.0,Work of art
668,Q21094077,1880,Eastern Europe,0.0,Science
669,Q327306,1870,France,16.0,Science
670,Q327306,1870,France,16.0,Written work
671,Q16593898,1820,Eastern Europe,0.0,Written work
672,Q94940666,1830,Italy,0.0,Work of art
673,Q60836610,1860,Eastern Europe,0.0,Music
675,Q24033847,1840,France,0.0,Work of art
676,Q7146438,1850,United Kingdom,0.0,Science
677,Q7146438,1850,United Kingdom,0.0,Written work
678,Q956210,1820,Italy,21.0,Work of art
679,Q21393296,1840,France,0.0,Theater
680,Q2844716,1820,France,0.0,Music
681,Q2844716,1820,France,0.0,Theater
682,Q11860019,1860,Nordic countries,0.0,Written work
683,Q21465629,1850,United Kingdom,0.0,Work of art
684,Q3092660,1880,France,3.0,Work of art
685,Q3092660,1880,France,3.0,Science
686,Q15458102,1860,United Kingdom,0.0,Work of art
688,Q2848646,1860,Low countries,0.0,Work of art
689,Q5538067,1810,United Kingdom,0.0,Written work
690,Q7328478,1860,United Kingdom,4.0,Architecture
691,Q7328478,1860,United Kingdom,4.0,Science
692,Q47118232,1880,France,0.0,Architecture
693,Q4681745,1820,Italy,0.0,Music
