,region,decade,count_cps,N_est,lower,upper
499,Chinese world,1370,12,62.72136858593537,55.23786492389251,70.51269031516296
501,Chinese world,1390,12,74.96971605045012,65.93557670296417,84.32053130536666
496,Chinese world,1340,11,53.19219868457215,46.60509850200721,60.13364901014589
510,Chinese world,1480,10,67.25021509994401,59.69267772072503,75.13389145529442
520,Chinese world,1580,10,93.11948894410075,81.96814220451188,104.83106397356548
512,Chinese world,1500,10,69.73221619795818,61.787599465468254,77.96293218224642
508,Chinese world,1460,10,72.00841940431289,63.81365245881685,80.50401532360792
497,Chinese world,1350,9,56.67408148061481,49.58464185196654,64.05149140085658
498,Chinese world,1360,9,52.50801260504736,46.021012002548794,59.20678408141662
506,Chinese world,1440,9,56.97748477711427,50.348183211687704,63.77822457821698
488,Chinese world,1260,9,40.22121677329264,35.38459084188904,45.26105152623526
489,Chinese world,1270,9,43.2672038521278,37.97310072193479,48.78005261190922
505,Chinese world,1430,8,64.24047242131437,56.37791272409513,72.39014858063936
518,Chinese world,1560,8,72.59126260541876,64.24056737594992,81.35000584188548
519,Chinese world,1570,8,96.66080606566143,83.36508178976258,110.77881026691936
495,Chinese world,1330,8,38.770306935613675,34.02637423535951,43.764506805000636
492,Chinese world,1300,8,39.26261894466969,34.38168765134874,44.31152003667865
473,Chinese world,1060,7,22.360515455016483,19.17484018697443,25.783355619653726
509,Chinese world,1470,6,45.25249432610201,40.120736594407546,50.593277872312704
487,Chinese world,1240,6,24.244416963600074,21.42352902274419,27.19255223301226
503,Chinese world,1410,6,39.41008464131262,34.728451845292824,44.254929714964206
406,Chinese world,200,6,20.759257856218255,16.79579429100674,25.22044129381085
521,Chinese world,1590,6,47.69139128235905,42.279132881458466,53.37473068787059
401,Chinese world,140,5,31.433788483643195,23.756675261503574,40.048596609352444
513,Chinese world,1510,5,45.81944493860585,40.57572690504209,51.18701367835532
445,Chinese world,720,5,21.982511605007122,17.148239624604713,27.124013788301948
451,Chinese world,780,5,43.73144251597896,33.38635187738048,54.61876128422756
456,Chinese world,840,5,26.14034893534974,21.273806377263803,31.146143317504283
467,Chinese world,980,5,12.324566896466335,10.759663511526487,13.99596355871676
