,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
269,1811,Nordic countries,2.361900000007245,3504.2151787399475,3181.753350226542,3839.4711118158275,297.5,19.0,125.90632617625599,1346.5868467763482,1483.0730518831913,1624.977449438465,re_nordic_countries,SWE,1417
270,1812,Nordic countries,2.364800000004449,3631.4207036754856,3299.8761224251257,3975.489604724032,309.0,19.0,130.57483972055667,1394.4748474251355,1534.6032238214764,1680.030092225019,re_nordic_countries,SWE,1328
271,1813,Nordic countries,2.3677000000016526,3758.626228611024,3417.9988946237095,4111.508097632236,320.5,19.0,135.24335326485735,1442.3628480739226,1586.1333957597612,1735.0827350115728,re_nordic_countries,SWE,1352
272,1814,Nordic countries,2.3705999999988565,3885.831753546562,3536.1216668222933,4247.52659054044,332.0,19.0,139.91186680915803,1490.2508487227099,1637.6635676980463,1790.1353777981265,re_nordic_countries,SWE,1363
273,1815,Nordic countries,2.37349999999606,4013.0372784821006,3654.244439020877,4383.5450834486455,343.5,19.0,144.58038035345868,1538.138849371497,1689.1937396363314,1845.1880205846803,re_nordic_countries,SWE,1411
274,1816,Nordic countries,2.3763999999932635,4140.242803417639,3772.367211219461,4519.56357635685,355.0,19.0,149.2488938977594,1586.0268500202842,1740.7239115746165,1900.2406633712342,re_nordic_countries,SWE,1438
275,1817,Nordic countries,2.3792999999904674,4267.448328353177,3890.4899834180446,4655.582069265054,366.5,19.0,153.91740744206004,1633.9148506690713,1792.2540835129016,1955.293306157788,re_nordic_countries,SWE,1396
276,1818,Nordic countries,2.382199999987671,4394.653853288715,4008.6127556166284,4791.600562173258,378.0,19.0,158.58592098636072,1681.8028513178583,1843.7842554511867,2010.3459489443417,re_nordic_countries,SWE,1407
277,1819,Nordic countries,2.3850999999848748,4521.859378224254,4126.735527815212,4927.619055081463,389.5,19.0,163.2544345306614,1729.6908519666456,1895.3144273894716,2065.3985917308955,re_nordic_countries,SWE,1395
278,1820,Nordic countries,2.3879999999820782,4649.064903159792,4244.858300013796,5063.637547989667,401.0,19.0,167.92294807496208,1777.5788526154327,1946.8445993277567,2120.4512345174494,re_nordic_countries,SWE,1415
279,1821,Nordic countries,2.3908999999826017,4639.067227895606,4237.731558677223,5050.327181115705,400.6,19.0,167.5559739129803,1772.4974624581496,1940.3723094629088,2112.4000655247833,re_nordic_countries,SWE,1457
280,1822,Nordic countries,2.3937999999831248,4629.06955263142,4230.604817340649,5037.016814241743,400.2,19.0,167.18899975099856,1767.4160723008667,1933.9000195980607,2104.3488965321167,re_nordic_countries,SWE,1465
281,1823,Nordic countries,2.3966999999836482,4619.071877367234,4223.478076004076,5023.706447367781,399.8,19.0,166.8220255890168,1762.334682143584,1927.4277297332128,2096.2977275394505,re_nordic_countries,SWE,1449
282,1824,Nordic countries,2.3995999999841717,4609.074202103048,4216.351334667503,5010.396080493819,399.4,19.0,166.45505142703502,1757.2532919863008,1920.9554398683647,2088.246558546784,re_nordic_countries,SWE,1487
283,1825,Nordic countries,2.4024999999846948,4599.076526838862,4209.22459333093,4997.085713619857,399.0,19.0,166.08807726505324,1752.1719018290178,1914.4831500035168,2080.195389554118,re_nordic_countries,SWE,1527
284,1826,Nordic countries,2.4053999999852183,4589.078851574675,4202.097851994356,4983.775346745895,398.6,19.0,165.7211031030715,1747.090511671735,1908.010860138669,2072.1442205614517,re_nordic_countries,SWE,1532
285,1827,Nordic countries,2.4082999999857417,4579.081176310489,4194.971110657782,4970.464979871933,398.2,19.0,165.35412894108973,1742.009121514452,1901.5385702738208,2064.093051568785,re_nordic_countries,SWE,1458
286,1828,Nordic countries,2.411199999986265,4569.083501046303,4187.844369321209,4957.154612997971,397.8,19.0,164.98715477910795,1736.927731357169,1895.066280408973,2056.041882576119,re_nordic_countries,SWE,1486
287,1829,Nordic countries,2.4140999999867883,4559.085825782117,4180.717627984635,4943.844246124009,397.4,19.0,164.6201806171262,1731.846341199886,1888.5939905441248,2047.9907135834526,re_nordic_countries,SWE,1506
288,1830,Nordic countries,2.4169999999873117,4549.088150517931,4173.590886648062,4930.533879250047,397.0,19.0,164.25320645514444,1726.7649510426031,1882.121700679277,2039.9395445907862,re_nordic_countries,SWE,1468
289,1831,Nordic countries,2.4198999999885555,4771.788618259432,4380.653129453842,5169.43786062229,417.6,19.0,172.48037967717136,1809.371093497889,1970.9370378858232,2135.192266050482,re_nordic_countries,SWE,1497
290,1832,Nordic countries,2.4227999999897993,4994.489086000933,4587.715372259622,5408.341841994533,438.2,19.0,180.70755289919828,1891.977235953175,2059.752375092369,2230.444987510178,re_nordic_countries,SWE,1457
291,1833,Nordic countries,2.425699999991043,5217.189553742433,4794.777615065403,5647.245823366775,458.8,19.0,188.9347261212252,1974.583378408461,2148.5677122989155,2325.697708969874,re_nordic_countries,SWE,1503
292,1834,Nordic countries,2.428599999992287,5439.890021483934,5001.839857871182,5886.149804739018,479.4,19.0,197.16189934325212,2057.189520863747,2237.3830495054617,2420.9504304295697,re_nordic_countries,SWE,1522
293,1835,Nordic countries,2.4314999999935303,5662.590489225435,5208.902100676962,6125.053786111261,500.0,19.0,205.38907256527904,2139.795663319033,2326.198386712008,2516.2031518892654,re_nordic_countries,SWE,1517
294,1836,Nordic countries,2.434399999994774,5885.2909569669355,5415.964343482742,6363.957767483504,520.6,19.0,213.61624578730599,2222.4018057743187,2415.013723918554,2611.4558733489616,re_nordic_countries,SWE,1565
295,1837,Nordic countries,2.437299999996018,6107.991424708435,5623.026586288523,6602.861748855747,541.2,19.0,221.8434190093329,2305.0079482296046,2503.8290611251005,2706.7085948086574,re_nordic_countries,SWE,1554
296,1838,Nordic countries,2.4401999999972617,6330.691892449936,5830.088829094302,6841.7657302279895,561.8,19.0,230.07059223135983,2387.6140906848905,2592.6443983316467,2801.9613162683536,re_nordic_countries,SWE,1529
297,1839,Nordic countries,2.4430999999985055,6553.392360191437,6037.151071900082,7080.669711600232,582.4,19.0,238.29776545338675,2470.220233140177,2681.459735538193,2897.2140377280493,re_nordic_countries,SWE,1546
