,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita
13,1835,Balkans,13.028966319212326,1273.20378559611,1007.7590848894137,1551.019245230678,67.5,19.0,5.163643601149716,77.10877410270477,97.42520197543577,118.6902074613779,re_balkans,2138
14,1836,Balkans,13.063990490924496,1333.9650730884823,1056.7582521547165,1623.7510602859547,71.0,19.0,5.418395020297874,80.66227905361893,101.82685971897646,123.95346374499243,re_balkans,2067
15,1837,Balkans,13.099014662636666,1394.7263605808546,1105.7574194200195,1696.4828753412314,74.5,19.0,5.673146439446032,84.21578400453309,106.22851746251715,129.21672002860697,re_balkans,2120
16,1838,Balkans,13.134038834348836,1455.4876480732269,1154.7565866853224,1769.214690396508,78.0,19.0,5.927897858594189,87.76928895544725,110.63017520605784,134.47997631222148,re_balkans,2230
17,1839,Balkans,13.169063006061005,1516.2489355655991,1203.7557539506251,1841.946505451785,81.5,19.0,6.182649277742346,91.32279390636141,115.03183294959854,139.74323259583602,re_balkans,2020
18,1840,Balkans,13.204087177773175,1577.0102230579714,1252.754921215928,1914.6783205070617,85.0,19.0,6.437400696890504,94.87629885727557,119.43349069313922,145.00648887945056,re_balkans,1932
19,1841,Balkans,13.239200014304721,1606.8411383142834,1276.8225193815938,1951.7857870048863,86.1,19.0,6.501875112576769,96.40605853739697,121.32481190007374,147.36837514057393,re_balkans,1918
20,1842,Balkans,13.274312850836267,1636.6720535705956,1300.8901175472593,1988.893253502711,87.2,19.0,6.566349528263034,97.93581821751837,123.21613310700825,149.7302614016973,re_balkans,1959
21,1843,Balkans,13.309425687367813,1666.5029688269076,1324.957715712925,2026.0007200005357,88.3,19.0,6.6308239439492995,99.46557789763978,125.10745431394277,152.09214766282068,re_balkans,1653
22,1844,Balkans,13.34453852389936,1696.3338840832196,1349.0253138785904,2063.1081864983603,89.4,19.0,6.695298359635565,100.99533757776118,126.99877552087727,154.45403392394405,re_balkans,1602
23,1845,Balkans,13.379651360430906,1726.1647993395318,1373.092912044256,2100.215652996185,90.5,19.0,6.75977277532183,102.52509725788258,128.8900967278118,156.8159201850674,re_balkans,1543
24,1846,Balkans,13.414764196962453,1755.9957145958438,1397.1605102099215,2137.3231194940095,91.6,19.0,6.824247191008095,104.05485693800398,130.78141793474632,159.17780644619077,re_balkans,1691
25,1847,Balkans,13.449877033494,1785.8266298521557,1421.2281083755872,2174.4305859918345,92.7,19.0,6.888721606694361,105.5846166181254,132.67273914168084,161.53969270731415,re_balkans,1441
26,1848,Balkans,13.484989870025545,1815.6575451084677,1445.295706541253,2211.538052489659,93.8,19.0,6.953196022380626,107.1143762982468,134.56406034861533,163.90157896843752,re_balkans,1554
27,1849,Balkans,13.520102706557092,1845.48846036478,1469.3633047069184,2248.6455189874837,94.9,19.0,7.017670438066891,108.6441359783682,136.45538155554985,166.2634652295609,re_balkans,1591
28,1850,Balkans,13.555215543088638,1875.319375621092,1493.430902872584,2285.7529854853083,96.0,19.0,7.082144853753157,110.1738956584896,138.34670276248437,168.62535149068427,re_balkans,1607
29,1851,Balkans,13.59043094824833,1991.7454234733602,1583.9188635182518,2432.2719920691247,102.3,19.0,7.517209109317889,116.40139552339059,146.36792574807387,178.7337185369298,re_balkans,1969
30,1852,Balkans,13.625646353408019,2108.1714713256288,1674.4068241639193,2578.790998652941,108.6,19.0,7.952273364882622,122.62889538829158,154.38914873366335,188.84208558317536,re_balkans,1663
31,1853,Balkans,13.66086175856771,2224.597519177897,1764.8947848095868,2725.310005236757,114.9,19.0,8.387337620447354,128.85639525319257,162.41037171925285,198.9504526294209,re_balkans,1822
32,1854,Balkans,13.696077163727402,2341.0235670301654,1855.3827454552545,2871.8290118205737,121.2,19.0,8.822401876012087,135.08389511809355,170.43159470484233,209.05881967566643,re_balkans,1908
33,1855,Balkans,13.731292568887092,2457.4496148824337,1945.8707061009222,3018.34801840439,127.5,19.0,9.25746613157682,141.31139498299456,178.45281769043183,219.167186721912,re_balkans,2007
34,1856,Balkans,13.766507974046784,2573.875662734702,2036.3586667465897,3164.8670249882066,133.8,19.0,9.692530387141552,147.53889484789553,186.47404067602133,229.27555376815752,re_balkans,1757
35,1857,Balkans,13.801723379206475,2690.3017105869703,2126.8466273922572,3311.386031572023,140.1,19.0,10.127594642706283,153.7663947127965,194.4952636616108,239.38392081440307,re_balkans,2278
36,1858,Balkans,13.836938784366167,2806.727758439239,2217.3345880379247,3457.905038155839,146.4,19.0,10.562658898271016,159.99389457769752,202.5164866472003,249.49228786064862,re_balkans,2197
37,1859,Balkans,13.872154189525856,2923.1538062915074,2307.8225486835927,3604.424044739656,152.7,19.0,10.997723153835748,166.22139444259852,210.5377096327898,259.6006549068942,re_balkans,2161
38,1860,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2125
39,1861,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2262
40,1862,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2283
41,1863,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2039
42,1864,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1854
43,1865,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1981
44,1866,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1890
45,1867,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1997
46,1868,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2020
47,1869,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1992
48,1870,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1938
49,1871,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1859
50,1872,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1806
51,1873,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2128
52,1874,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2013
53,1875,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1929
54,1876,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1921
55,1877,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1804
56,1878,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,1985
57,1879,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2063
58,1880,Balkans,13.907369594685548,3039.5798541437757,2398.31050932926,3750.943051323472,159.0,19.0,11.43278740940048,172.4488943074995,218.5589326183793,269.7090219531397,re_balkans,2028
59,1400,Central Europe,7.7531999827546,174.98492467157735,116.08616929261946,240.9563652788708,16.0,14.0,2.063664040085218,14.972678320026478,22.569381037609677,31.078311640977756,re_central_europe,956
60,1409,Central Europe,7.869828969046083,46.53943715022268,31.197958037556376,63.617113229128734,5.200000000000001,14.9,0.6630576300466875,3.982345667565653,5.941033835043044,8.121473288966897,re_central_europe,894
61,1410,Central Europe,7.882787745300693,32.267716314516605,21.76593456477159,43.91275189026849,4.0,15.0,0.5074346955979617,2.7611975950700063,4.093439701424529,5.570713472076802,re_central_europe,896
62,1411,Central Europe,7.895552516620068,40.4997695330264,27.4628252145977,54.95476329368192,4.5,15.0,0.5690446685773748,3.4679812179195855,5.114582863889863,6.940289767485664,re_central_europe,897
63,1412,Central Europe,7.908317287939443,48.7318227515362,33.15971586442381,65.99677469709536,5.0,15.0,0.630654641556788,4.174764840769164,6.135726026355196,8.309866062894528,re_central_europe,899
64,1413,Central Europe,7.921082059258818,56.96387597004599,38.85660651424992,77.03878610050879,5.5,15.0,0.692264614536201,4.881548463618744,7.156869188820529,9.67944235830339,re_central_europe,899
65,1414,Central Europe,7.933846830578193,65.1959291885558,44.55349716407602,88.08079750392224,6.0,15.0,0.7538745875156141,5.588332086468322,8.178012351285863,11.049018653712253,re_central_europe,902
66,1415,Central Europe,7.946611601897568,73.42798240706558,50.25038781390214,99.12280890733567,6.5,15.0,0.8154845604950272,6.295115709317901,9.199155513751197,12.418594949121115,re_central_europe,928
67,1416,Central Europe,7.959376373216943,81.66003562557538,55.94727846372824,110.16482031074909,7.0,15.0,0.8770945334744403,7.001899332167481,10.22029867621653,13.788171244529979,re_central_europe,939
68,1417,Central Europe,7.972141144536319,89.89208884408518,61.64416911355435,121.20683171416255,7.5,15.0,0.9387045064538534,7.708682955017059,11.241441838681864,15.15774753993884,re_central_europe,948
69,1418,Central Europe,7.984905915855693,98.12414206259497,67.34105976338046,132.24884311757597,8.0,15.0,1.0003144794332666,8.415466577866638,12.262585001147198,16.5273238353477,re_central_europe,960
70,1419,Central Europe,7.997670687175068,106.35619528110476,73.03795041320657,143.29085452098943,8.5,15.0,1.0619244524126796,9.122250200716216,13.283728163612532,17.896900130756563,re_central_europe,969
71,1420,Central Europe,8.010435458494443,114.58824849961456,78.73484106303268,154.33286592440285,9.0,15.0,1.1235344253920927,9.829033823565796,14.304871326077865,19.26647642616543,re_central_europe,980
72,1421,Central Europe,8.023029530768703,108.11417884890278,74.33977112677556,145.56693917194798,8.6,15.0,1.0726334020703023,9.273644372788187,13.487034725871077,18.159279567469216,re_central_europe,988
73,1422,Central Europe,8.035623603042964,101.640109198191,69.94470119051843,136.80101241949308,8.2,15.0,1.0217323787485117,8.71825492201058,12.669198125664288,17.052082708773007,re_central_europe,998
74,1423,Central Europe,8.048217675317224,95.16603954747922,65.54963125426131,128.0350856670382,7.8,15.0,0.9708313554267214,8.162865471232971,11.851361525457499,15.944885850076794,re_central_europe,1007
75,1424,Central Europe,8.060811747591483,88.69196989676743,61.15456131800419,119.26915891458333,7.4,15.0,0.9199303321049309,7.607476020455363,11.033524925250711,14.837688991380581,re_central_europe,1020
76,1425,Central Europe,8.073405819865744,82.21790024605565,56.75949138174707,110.50323216212846,7.0,15.0,0.8690293087831404,7.052086569677755,10.215688325043923,13.730492132684368,re_central_europe,1030
77,1426,Central Europe,8.085999892140004,75.74383059534387,52.36442144548995,101.73730540967357,6.6,15.0,0.81812828546135,6.496697118900146,9.397851724837134,12.623295273988157,re_central_europe,1019
78,1427,Central Europe,8.098593964414263,69.26976094463208,47.96935150923283,92.97137865721868,6.199999999999999,15.0,0.7672272621395595,5.941307668122538,8.580015124630346,11.516098415291946,re_central_europe,1020
79,1428,Central Europe,8.111188036688523,62.7956912939203,43.57428157297571,84.2054519047638,5.8,15.0,0.7163262388177691,5.38591821734493,7.762178524423557,10.408901556595733,re_central_europe,1022
80,1429,Central Europe,8.123782108962784,56.321621643208516,39.179211636718584,75.43952515230893,5.4,15.0,0.6654252154959786,4.830528766567322,6.944341924216768,9.30170469789952,re_central_europe,1020
81,1430,Central Europe,8.136376181237043,49.84755199249673,34.78414170046146,66.67359839985404,5.0,15.0,0.6145241921741882,4.275139315789714,6.12650532400998,8.19450783920331,re_central_europe,1019
82,1431,Central Europe,8.148875554121258,90.41869533707599,63.59742537696761,120.55411413665679,6.4,15.0,0.7830578431461608,7.756383640774846,11.028182202157316,14.704092824873367,re_central_europe,1017
83,1432,Central Europe,8.161374927005474,130.98983868165524,92.41070905347377,174.43462987345953,7.8,15.0,0.9515914941181334,11.237627965759977,15.929859080304652,21.213677810543423,re_central_europe,1014
84,1433,Central Europe,8.17387429988969,171.5609820262345,121.22399272997991,228.31514561026228,9.2,15.0,1.120125145090106,14.718872290745109,20.831535958451987,27.723262796213483,re_central_europe,1009
85,1434,Central Europe,8.186373672773904,212.13212537081375,150.03727640648606,282.195661347065,10.6,15.0,1.2886587960620788,18.20011661573024,25.733212836599325,34.23284778188354,re_central_europe,1006
86,1435,Central Europe,8.198873045658118,252.703268715393,178.85056008299222,336.0761770838678,12.0,15.0,1.4571924470340512,21.681360940715372,30.63488971474666,40.7424327675536,re_central_europe,996
87,1436,Central Europe,8.211372418542334,293.2744120599723,207.66384375949838,389.9566928206705,13.399999999999999,15.0,1.625726098006024,25.162605265700506,35.536566592894,47.252017753223654,re_central_europe,990
88,1437,Central Europe,8.22387179142655,333.84555540455153,236.47712743600448,443.8372085574733,14.799999999999999,15.0,1.7942597489779966,28.64384959068564,40.43824347104133,53.761602738893714,re_central_europe,980
89,1438,Central Europe,8.236371164310764,374.4166987491308,265.29041111251064,497.717724294276,16.2,15.0,1.9627933999499692,32.12509391567077,45.339920349188674,60.271187724563774,re_central_europe,969
90,1439,Central Europe,8.248870537194978,414.98784209371,294.1036947890168,551.5982400310788,17.6,15.0,2.131327050921942,35.6063382406559,50.241597227336,66.78077271023383,re_central_europe,958
91,1440,Central Europe,8.261369910079194,455.55898543828926,322.91697846552296,605.4787557678816,19.0,15.0,2.2998607018939143,39.087582565641036,55.143274105483336,73.2903576959039,re_central_europe,948
92,1441,Central Europe,8.274068975010923,439.7486273445332,311.84441854724554,584.2959299493144,18.45,15.0,2.231841654154042,37.728984971279424,53.20434924995014,70.69345425788853,re_central_europe,940
93,1442,Central Europe,8.286768039942652,423.93826925077707,300.7718586289681,563.1131041307473,17.9,15.0,2.1638226064141697,36.370387376917805,51.265424394416954,68.09655081987317,re_central_europe,931
94,1443,Central Europe,8.29946710487438,408.127911157021,289.69929871069075,541.9302783121801,17.35,15.0,2.095803558674297,35.01178978255619,49.326499538883766,65.4996473818578,re_central_europe,925
95,1444,Central Europe,8.312166169806108,392.31755306326494,278.62673879241333,520.747452493613,16.8,15.0,2.027784510934425,33.65319218819458,47.38757468335057,62.90274394384244,re_central_europe,920
96,1445,Central Europe,8.324865234737837,376.5071949695089,267.5541788741359,499.56462667504576,16.25,15.0,1.9597654631945525,32.29459459383297,45.44864982781738,60.30584050582708,re_central_europe,913
97,1446,Central Europe,8.337564299669566,360.69683687575275,256.4816189558585,478.3818008564786,15.7,15.0,1.89174641545468,30.93599699947135,43.50972497228419,57.70893706781172,re_central_europe,909
98,1447,Central Europe,8.350263364601295,344.8864787819967,245.40905903758107,457.1989750379114,15.149999999999999,15.0,1.8237273677148076,29.577399405109738,41.570800116751,55.11203362979635,re_central_europe,905
99,1448,Central Europe,8.362962429533022,329.0761206882406,234.33649911930368,436.01614921934424,14.6,15.0,1.7557083199749353,28.218801810748122,39.63187526121781,52.51513019178098,re_central_europe,904
100,1449,Central Europe,8.375661494464751,313.2657625944845,223.2639392010263,414.8333234007771,14.05,15.0,1.687689272235063,26.860204216386506,37.69295040568461,49.91822675376562,re_central_europe,905
101,1450,Central Europe,8.38836055939648,297.45540450072843,212.19137928274887,393.65049758220994,13.5,15.0,1.6196702244951906,25.501606622024894,35.754025550151425,47.32132331575026,re_central_europe,905
102,1451,Central Europe,8.401059624328209,281.64504640697237,201.11881936447145,372.4676717636428,12.95,15.0,1.551651176755318,24.14300902766328,33.81510069461824,44.724419877734896,re_central_europe,907
103,1452,Central Europe,8.413758689259938,265.83468831321625,190.04625944619403,351.28484594507563,12.399999999999999,15.0,1.4836321290154457,22.784411433301663,31.876175839085043,42.127516439719535,re_central_europe,907
104,1453,Central Europe,8.426457754191665,250.02433021946018,178.97369952791664,330.1020201265085,11.85,15.0,1.4156130812755734,21.42581383894005,29.937250983551852,39.53061300170417,re_central_europe,909
105,1454,Central Europe,8.439156819123394,234.2139721257041,167.90113960963922,308.91919430794127,11.299999999999999,15.0,1.3475940335357008,20.067216244578436,27.99832612801866,36.93370956368881,re_central_europe,910
106,1455,Central Europe,8.451855884055123,218.40361403194802,156.82857969136182,287.7363684893741,10.75,15.0,1.2795749857958285,18.708618650216824,26.05940127248547,34.33680612567344,re_central_europe,910
107,1456,Central Europe,8.464554948986851,202.59325593819193,145.7560197730844,266.55354267080696,10.2,15.0,1.2115559380559562,17.35002105585521,24.12047641695228,31.73990268765808,re_central_europe,901
108,1457,Central Europe,8.47725401391858,186.78289784443587,134.68345985480698,245.3707168522398,9.649999999999999,15.0,1.1435368903160839,15.991423461493593,22.18155156141909,29.14299924964272,re_central_europe,889
109,1458,Central Europe,8.489953078850307,170.97253975067974,123.61089993652959,224.18789103367266,9.1,15.0,1.0755178425762115,14.63282586713198,20.242626705885897,26.546095811627353,re_central_europe,878
110,1459,Central Europe,8.502652143782036,155.16218165692368,112.53834001825217,203.00506521510545,8.549999999999999,15.0,1.007498794836339,13.274228272770365,18.303701850352702,23.949192373611993,re_central_europe,869
111,1460,Central Europe,8.515351208713765,139.3518235631676,101.46578009997476,181.8222393965383,8.0,15.0,0.9394797470964666,11.91563067840875,16.36477699481952,21.352288935596626,re_central_europe,858
112,1461,Central Europe,8.528623736120327,141.35481532988567,103.11240156503425,184.3043629754019,8.2,15.0,0.9611644222588771,12.087746516338463,16.571272603306333,21.6065333034802,re_central_europe,846
113,1462,Central Europe,8.54189626352689,143.35780709660372,104.75902303009373,186.7864865542655,8.4,15.0,0.9828490974212875,12.259862354268177,16.777768211793145,21.860777671363774,re_central_europe,835
114,1463,Central Europe,8.555168790933452,145.36079886332178,106.40564449515321,189.2686101331291,8.6,15.0,1.0045337725836978,12.431978192197892,16.98426382027996,22.11502203924735,re_central_europe,822
115,1464,Central Europe,8.568441318340016,147.36379063003983,108.0522659602127,191.7507337119927,8.8,15.0,1.0262184477461083,12.604094030127605,17.19075942876677,22.369266407130926,re_central_europe,811
116,1465,Central Europe,8.581713845746577,149.3667823967579,109.69888742527218,194.23285729085632,9.0,15.0,1.0479031229085187,12.776209868057318,17.397255037253586,22.623510775014502,re_central_europe,800
117,1466,Central Europe,8.594986373153139,151.36977416347597,111.34550889033167,196.7149808697199,9.2,15.0,1.0695877980709292,12.948325705987033,17.6037506457404,22.877755142898074,re_central_europe,789
118,1467,Central Europe,8.608258900559703,153.37276593019402,112.99213035539115,199.1971044485835,9.4,15.0,1.0912724732333396,13.120441543916748,17.810246254227213,23.13199951078165,re_central_europe,789
119,1468,Central Europe,8.621531427966264,155.37575769691207,114.63875182045064,201.6792280274471,9.6,15.0,1.1129571483957499,13.29255738184646,18.016741862714028,23.386243878665226,re_central_europe,791
120,1469,Central Europe,8.634803955372828,157.37874946363013,116.28537328551012,204.16135160631072,9.8,15.0,1.1346418235581603,13.464673219776174,18.22323747120084,23.6404882465488,re_central_europe,791
121,1470,Central Europe,8.64807648277939,159.38174123034818,117.9319947505696,206.6434751851743,10.0,15.0,1.1563264987205708,13.636789057705888,18.429733079687654,23.894732614432375,re_central_europe,791
122,1471,Central Europe,8.661732550799355,213.68469489668604,158.56622439541007,276.3471796337895,13.4,15.0,1.5415682638491528,18.241191490666232,24.582665178647794,31.79231507203116,re_central_europe,789
123,1472,Central Europe,8.67538861881932,267.9876485630239,199.20045404025058,346.05088408240465,16.8,15.0,1.9268100289777348,22.845593923626573,30.73559727760793,39.68989752962994,re_central_europe,792
124,1473,Central Europe,8.689044686839285,322.29060222936175,239.83468368509108,415.75458853101986,20.2,15.0,2.312051794106317,27.44999635658692,36.88852937656807,47.58747998722872,re_central_europe,802
125,1474,Central Europe,8.702700754859249,376.59355589569964,280.4689133299315,485.45829297963496,23.6,15.0,2.6972935592348986,32.054398789547264,43.04146147552821,55.485062444827506,re_central_europe,810
126,1475,Central Europe,8.716356822879215,430.8965095620375,321.103142974772,555.1619974282502,27.0,15.0,3.082535324363481,36.658801222507606,49.194393574488345,63.38264490242629,re_central_europe,818
127,1476,Central Europe,8.73001289089918,485.1994632283754,361.73737261961253,624.8657018768654,30.4,15.0,3.4677770894920625,41.26320365546795,55.34732567344848,71.28022736002507,re_central_europe,826
128,1477,Central Europe,8.743668958919145,539.5024168947132,402.37160226445303,694.5694063254805,33.8,15.0,3.853018854620645,45.867606088428296,61.50025777240862,79.17780981762385,re_central_europe,837
129,1478,Central Europe,8.75732502693911,593.8053705610511,443.00583190929353,764.2731107740957,37.2,15.0,4.2382606197492265,50.47200852138864,67.65318987136875,87.07539227522264,re_central_europe,845
130,1479,Central Europe,8.770981094959074,648.108324227389,483.64006155413404,833.9768152227109,40.599999999999994,15.0,4.623502384877809,55.07641095434898,73.80612197032889,94.97297473282141,re_central_europe,850
131,1480,Central Europe,8.78463716297904,702.4112778937268,524.2742911989745,903.680519671326,44.0,15.0,5.0087441500063905,59.68081338730933,79.95905406928902,102.8705571904202,re_central_europe,856
132,1481,Central Europe,8.798371924489482,643.164136591701,480.1267337680225,827.3480857788061,40.2,15.0,4.5751193453697905,54.64076229015476,73.19538417506276,94.15665121593847,re_central_europe,866
133,1482,Central Europe,8.812106685999924,583.9169952896751,435.9791763370705,751.0156518862862,36.4,15.0,4.1414945407331905,49.60071119300019,66.4317142808365,85.44274524145672,re_central_europe,885
134,1483,Central Europe,8.825841447510367,524.6698539876493,391.8316189061185,674.6832179937663,32.6,15.0,3.7078697360965904,44.56066009584562,59.668044386610234,76.72883926697499,re_central_europe,878
135,1484,Central Europe,8.839576209020809,465.4227126856233,347.68406147516646,598.3507841012464,28.8,15.0,3.2742449314599904,39.520608998691046,52.904374492383965,68.01493329249325,re_central_europe,869
136,1485,Central Europe,8.85331097053125,406.17557138359746,303.53650404421444,522.0183502087265,25.0,15.0,2.8406201268233904,34.48055790153648,46.140704598157704,59.301027318011506,re_central_europe,861
137,1486,Central Europe,8.867045732041692,346.9284300815716,259.38894661326236,445.6859163162066,21.200000000000003,15.0,2.4069953221867904,29.44050680438191,39.37703470393144,50.58712134352977,re_central_europe,850
138,1487,Central Europe,8.880780493552134,287.6812887795457,215.24138918231034,369.3534824236867,17.400000000000002,15.0,1.9733705175501903,24.400455707227337,32.613364809705175,41.87321536904803,re_central_europe,845
139,1488,Central Europe,8.894515255062577,228.43414747751984,171.09383175135832,293.0210485311668,13.600000000000001,15.0,1.5397457129135903,19.36040461007277,25.849694915478914,33.15930939456629,re_central_europe,845
140,1489,Central Europe,8.90825001657302,169.18700617549393,126.9462743204063,216.68861463864687,9.800000000000004,15.0,1.1061209082769903,14.320353512918203,19.086025021252652,24.44540342008456,re_central_europe,842
141,1490,Central Europe,8.921984778083461,109.9398648734681,82.7987168894543,140.35618074612708,6.0,15.0,0.6724961036403904,9.280302415763632,12.322355127026384,15.731497445602805,re_central_europe,845
142,1491,Central Europe,8.93552537185612,128.78141976760747,97.24281931879965,164.1448119506752,7.4,15.0,0.8260606397290287,10.861159648658825,14.384174416376947,18.334412360938124,re_central_europe,846
143,1492,Central Europe,8.949065965628778,147.62297466174684,111.68692174814501,187.93344315522336,8.8,15.0,0.9796251758176671,12.442016881554016,16.44599370572751,20.937327276273443,re_central_europe,850
144,1493,Central Europe,8.962606559401436,166.4645295558862,126.13102417749036,211.72207435977148,10.2,15.0,1.1331897119063052,14.022874114449209,18.507812995078076,23.54024219160876,re_central_europe,846
145,1494,Central Europe,8.976147153174095,185.3060844500256,140.5751266068357,235.5107055643196,11.6,15.0,1.2867542479949436,15.6037313473444,20.56963228442864,26.143157106944077,re_central_europe,866
146,1495,Central Europe,8.989687746946753,204.14763934416493,155.01922903618106,259.29933676886776,13.0,15.0,1.440318784083582,17.18458858023959,22.631451573779202,28.746072022279396,re_central_europe,885
147,1496,Central Europe,9.003228340719414,222.98919423830432,169.46333146552644,283.08796797341586,14.399999999999999,15.0,1.5938833201722202,18.765445813134786,24.69327086312977,31.34898693761471,re_central_europe,897
