,N_est,lower,upper,decade,region
1506,98.13683902900296,84.71706422043499,112.49539772482905,1600,Japan
1507,135.28526731568277,116.9071674664239,154.96972783771992,1610,Japan
1508,86.18978585883538,74.57763811192744,98.5933654515297,1620,Japan
1509,147.7289737320692,127.90310343706236,168.78347496762984,1630,Japan
1510,147.52365882339882,127.88399482165136,168.54052009659088,1640,Japan
1511,98.10210239695554,85.12073135446389,111.99634533411673,1650,Japan
1512,195.5107452421212,169.7352924450632,223.27603551652572,1660,Japan
1513,97.3194807364556,84.51200539922196,111.14904107125336,1670,Japan
1514,229.91199355616607,199.5266879455764,262.5932032431898,1680,Japan
1515,180.41750816705388,156.4431202862042,205.94268513675453,1690,Japan
1516,322.5920340400609,279.67253244317686,368.19893647596666,1700,Japan
1517,118.6197729883878,102.8741921311068,135.3315874895122,1710,Japan
1518,164.80053410259333,142.9441668281498,188.0607404797337,1720,Japan
1519,186.84078260965495,162.1827536364025,213.1561785779508,1730,Japan
1520,185.3026485941439,161.01707408408527,211.34405817912216,1740,Japan
1521,251.6528568069635,218.52948114938363,287.0094920497946,1750,Japan
1522,341.61243157492504,297.0608939842494,389.0162541655744,1760,Japan
1523,304.85905895719657,265.00620770397,347.2113049814114,1770,Japan
1524,526.2708433132924,457.5733510085368,599.3715219566152,1780,Japan
1525,410.9450557301767,357.4708253934946,467.6709121821015,1790,Japan
1526,551.0089262771779,479.8338154071939,627.0294520967125,1800,Japan
1527,459.4332422589548,400.3436990472755,522.9169874841273,1810,Japan
1528,499.7303281763641,435.9994987236505,568.444021969685,1820,Japan
1529,464.2097787106721,405.5035836687846,528.1370999767842,1830,Japan
1530,794.424050117041,693.8620033013723,903.223852832397,1840,Japan
1531,587.6376681796849,512.8779809137213,668.4135150325066,1850,Japan
1532,1351.680265211114,1178.850856029099,1539.3891619545666,1860,Japan
1533,1326.622757367361,1156.9715017733558,1512.27393008932,1870,Japan
1534,2034.2200501479024,1772.4310504353148,2319.0837718140465,1880,Japan
1535,4.538711150632558,3.2148962911955503,6.018923747381475,450,Korea
1536,6.02705392899411,4.080881380275031,8.216541073465947,580,Korea
1537,13.337170061847388,8.952070946322106,18.29256740895502,640,Korea
1538,6.754508540924723,4.534713891540991,9.268913268696206,650,Korea
1539,6.834011097512252,4.59331196576319,9.34545056748581,660,Korea
1540,7.034523488353403,4.75061086935163,9.560723119759716,690,Korea
1541,7.218070941128861,4.91945789855949,9.75862304307871,730,Korea
1542,7.250235502259284,4.954759581784515,9.76791382451127,740,Korea
1543,7.066585318666919,4.895491907784392,9.534101755633491,960,Korea
1544,6.942563098524755,4.828282612106162,9.357801999167078,1000,Korea
1545,6.884356168234446,4.800085360058596,9.263215813623656,1020,Korea
1546,6.7450267973578,4.734239859245546,8.975670883084186,1090,Korea
1547,6.73744436597898,4.743235398554918,8.945114382224503,1100,Korea
1548,6.733847588226114,4.745846364630784,8.932874298070855,1110,Korea
1549,6.846047197898929,4.841248894784929,9.031200470335126,1180,Korea
1550,6.885632413951253,4.8689242837281785,9.077986438366835,1190,Korea
1551,7.19715330801488,5.09264137307142,9.47985419917648,1240,Korea
1552,7.611895636863412,5.3670165283031865,10.026948562511564,1280,Korea
1553,8.183648538891655,5.779433880027605,10.791150105907096,1320,Korea
1554,26.686345277212364,18.91606827471748,35.06369318149151,1360,Korea
1555,9.092542887916084,6.443122516465434,11.96145939498399,1370,Korea
1556,18.592646962568644,13.171160174610812,24.483902605780948,1380,Korea
1557,19.012385608949312,13.463455383487608,25.087349373884877,1390,Korea
1558,9.94143058859346,7.04509543712329,13.100055799025236,1410,Korea
1559,51.9594360090992,36.75664304050828,68.42807377451877,1430,Korea
1560,42.4817664866479,30.101294256640536,55.95771802835378,1440,Korea
1561,130.19703443763896,92.23154772554884,171.8474899985985,1450,Korea
1562,66.4716149025253,47.169002745361205,87.76811915172348,1460,Korea
1563,67.83403881906632,48.14943924273994,89.52503485324587,1470,Korea
1564,46.11820060987517,32.70195561394499,60.75385616189554,1480,Korea
1565,46.99489946946432,33.27377987518628,61.93448606860744,1490,Korea
1566,47.8464000895984,33.87776710371832,62.97331749520913,1500,Korea
1567,36.49949209675447,25.85435498961069,47.99982582506211,1510,Korea
1568,37.08500282347028,26.28407979254176,48.80523528588758,1520,Korea
1569,62.72651423144882,44.43575802681504,82.58752217887586,1530,Korea
1570,101.72441218587812,72.20447340688474,133.80289615693823,1540,Korea
1571,38.61160780203647,27.38657009233879,50.84390234151663,1550,Korea
1572,13.008372234338616,9.22464495352432,17.124597764602157,1560,Korea
1573,144.3991210667552,102.36025973030686,190.15679886108617,1570,Korea
1574,92.5762287685822,65.53532413679609,122.09600322900508,1580,Korea
