,region_name,occupations_name,decade,score,count_occupations
382,Arabic world,translator,1870,2,52
383,Arabic world,Islamic scholar,1880,1,119
384,Arabic world,explorer,1880,2,52
385,Arabic world,historian,1880,3,270
386,Arabic world,poet,1880,14,633
387,Arabic world,theologian,1880,1,170
388,Arabic world,translator,1880,5,52
389,Arabic world,astronomer,-360,1,89
390,Arabic world,historian,-360,3,270
391,Arabic world,philosopher,-360,1,166
392,Arabic world,astronomer,-280,1,89
393,Arabic world,astronomer,-270,2,89
394,Arabic world,poet,-270,1,633
395,Arabic world,astronomer,-240,2,89
396,Arabic world,historian,-240,1,270
397,Arabic world,mathematician,-240,2,93
398,Arabic world,poet,-240,2,633
399,Arabic world,astronomer,-230,1,89
400,Arabic world,mathematician,-230,1,93
401,Arabic world,astronomer,-220,1,89
402,Arabic world,historian,-220,1,270
403,Arabic world,mathematician,-220,1,93
404,Arabic world,philosopher,-220,1,166
405,Arabic world,astronomer,-100,1,89
406,Arabic world,mathematician,-100,1,93
407,Arabic world,philosopher,-100,1,166
408,Arabic world,translator,-100,1,52
409,Arabic world,astronomer,80,1,89
410,Arabic world,historian,80,1,270
411,Arabic world,astronomer,140,1,89
412,Arabic world,historian,140,2,270
413,Arabic world,mathematician,140,3,93
414,Arabic world,philosopher,140,3,166
415,Arabic world,poet,140,1,633
416,Arabic world,theologian,140,3,170
417,Arabic world,astronomer,320,1,89
418,Arabic world,mathematician,320,1,93
419,Arabic world,astronomer,370,1,89
420,Arabic world,mathematician,370,1,93
421,Arabic world,astronomer,400,1,89
422,Arabic world,historian,400,1,270
423,Arabic world,mathematician,400,1,93
424,Arabic world,philosopher,400,5,166
425,Arabic world,poet,400,2,633
426,Arabic world,theologian,400,2,170
427,Arabic world,translator,400,1,52
428,Arabic world,astronomer,470,1,89
429,Arabic world,philosopher,470,1,166
430,Arabic world,astronomer,480,1,89
431,Arabic world,historian,480,1,270
432,Arabic world,linguist,480,1,89
433,Arabic world,philosopher,480,3,166
434,Arabic world,poet,480,2,633
435,Arabic world,astronomer,610,1,89
436,Arabic world,philosopher,610,1,166
437,Arabic world,poet,610,2,633
438,Arabic world,astronomer,710,1,89
439,Arabic world,historian,710,2,270
440,Arabic world,philosopher,710,1,166
441,Arabic world,theologian,710,3,170
442,Arabic world,astronomer,840,3,89
443,Arabic world,explorer,840,1,52
444,Arabic world,historian,840,2,270
445,Arabic world,linguist,840,1,89
446,Arabic world,mathematician,840,4,93
447,Arabic world,philosopher,840,2,166
448,Arabic world,poet,840,7,633
449,Arabic world,theologian,840,2,170
450,Arabic world,translator,840,1,52
451,Arabic world,astronomer,870,3,89
452,Arabic world,historian,870,2,270
453,Arabic world,linguist,870,1,89
454,Arabic world,mathematician,870,3,93
455,Arabic world,philosopher,870,3,166
456,Arabic world,poet,870,4,633
457,Arabic world,theologian,870,1,170
458,Arabic world,translator,870,1,52
459,Arabic world,astronomer,890,1,89
460,Arabic world,historian,890,1,270
461,Arabic world,linguist,890,2,89
462,Arabic world,mathematician,890,1,93
463,Arabic world,poet,890,3,633
464,Arabic world,theologian,890,1,170
465,Arabic world,astronomer,920,2,89
466,Arabic world,historian,920,2,270
467,Arabic world,mathematician,920,1,93
468,Arabic world,philosopher,920,2,166
469,Arabic world,poet,920,2,633
470,Arabic world,theologian,920,1,170
471,Arabic world,translator,920,1,52
472,Arabic world,astronomer,930,1,89
473,Arabic world,historian,930,3,270
474,Arabic world,philosopher,930,1,166
475,Arabic world,poet,930,3,633
476,Arabic world,theologian,930,1,170
477,Arabic world,astronomer,940,3,89
478,Arabic world,historian,940,4,270
479,Arabic world,linguist,940,4,89
480,Arabic world,mathematician,940,1,93
481,Arabic world,poet,940,3,633
482,Arabic world,theologian,940,2,170
483,Arabic world,translator,940,1,52
484,Arabic world,astronomer,980,5,89
485,Arabic world,historian,980,2,270
486,Arabic world,linguist,980,2,89
487,Arabic world,mathematician,980,3,93
488,Arabic world,philosopher,980,4,166
489,Arabic world,poet,980,6,633
490,Arabic world,theologian,980,2,170
491,Arabic world,astronomer,1000,1,89
492,Arabic world,historian,1000,2,270
493,Arabic world,mathematician,1000,1,93
494,Arabic world,philosopher,1000,1,166
495,Arabic world,poet,1000,3,633
496,Arabic world,theologian,1000,1,170
497,Arabic world,astronomer,1020,1,89
498,Arabic world,historian,1020,3,270
499,Arabic world,linguist,1020,1,89
500,Arabic world,mathematician,1020,2,93
501,Arabic world,philosopher,1020,1,166
502,Arabic world,theologian,1020,5,170
503,Arabic world,astronomer,1040,2,89
504,Arabic world,historian,1040,3,270
505,Arabic world,linguist,1040,1,89
506,Arabic world,mathematician,1040,3,93
507,Arabic world,philosopher,1040,2,166
508,Arabic world,poet,1040,8,633
509,Arabic world,theologian,1040,2,170
510,Arabic world,astronomer,1060,3,89
511,Arabic world,historian,1060,1,270
512,Arabic world,mathematician,1060,1,93
513,Arabic world,philosopher,1060,2,166
514,Arabic world,poet,1060,5,633
515,Arabic world,theologian,1060,1,170
516,Arabic world,astronomer,1070,1,89
517,Arabic world,linguist,1070,1,89
518,Arabic world,poet,1070,2,633
519,Arabic world,astronomer,1100,2,89
520,Arabic world,historian,1100,1,270
521,Arabic world,linguist,1100,1,89
522,Arabic world,mathematician,1100,1,93
523,Arabic world,philosopher,1100,2,166
524,Arabic world,poet,1100,5,633
525,Arabic world,theologian,1100,1,170
526,Arabic world,translator,1100,1,52
527,Arabic world,astronomer,1160,1,89
528,Arabic world,explorer,1160,1,52
529,Arabic world,historian,1160,3,270
530,Arabic world,philosopher,1160,4,166
531,Arabic world,poet,1160,11,633
532,Arabic world,theologian,1160,1,170
533,Arabic world,translator,1160,1,52
534,Arabic world,astronomer,1290,1,89
535,Arabic world,mathematician,1290,1,93
536,Arabic world,poet,1290,1,633
537,Arabic world,theologian,1290,2,170
538,Arabic world,astronomer,1460,1,89
539,Arabic world,historian,1460,3,270
540,Arabic world,linguist,1460,1,89
541,Arabic world,poet,1460,1,633
542,Arabic world,theologian,1460,1,170
543,Arabic world,astronomer,1560,1,89
544,Arabic world,explorer,1560,1,52
545,Arabic world,historian,1560,1,270
546,Arabic world,mathematician,1560,2,93
547,Arabic world,poet,1560,1,633
548,Arabic world,theologian,1560,2,170
549,Arabic world,astronomer,1660,1,89
550,Arabic world,explorer,1660,1,52
551,Arabic world,historian,1660,3,270
552,Arabic world,linguist,1660,1,89
553,Arabic world,poet,1660,3,633
554,Arabic world,theologian,1660,1,170
555,Arabic world,astronomer,1670,2,89
556,Arabic world,historian,1670,4,270
557,Arabic world,poet,1670,3,633
558,Arabic world,explorer,910,1,52
559,Arabic world,historian,910,1,270
560,Arabic world,philosopher,910,1,166
561,Arabic world,theologian,910,1,170
562,Arabic world,translator,910,1,52
563,Arabic world,explorer,1320,1,52
564,Arabic world,historian,1320,3,270
565,Arabic world,linguist,1320,1,89
566,Arabic world,poet,1320,9,633
567,Arabic world,theologian,1320,1,170
568,Arabic world,translator,1320,1,52
569,Arabic world,explorer,1520,2,52
570,Arabic world,historian,1520,1,270
571,Arabic world,philosopher,1520,2,166
572,Arabic world,explorer,1590,1,52
573,Arabic world,historian,1590,2,270
574,Arabic world,mathematician,1590,2,93
575,Arabic world,poet,1590,2,633
576,Arabic world,explorer,1800,3,52
577,Arabic world,historian,1800,1,270
578,Arabic world,linguist,1800,1,89
579,Arabic world,philosopher,1800,1,166
580,Arabic world,poet,1800,6,633
581,Arabic world,theologian,1800,3,170
582,Arabic world,translator,1800,1,52
583,Arabic world,historian,-300,2,270
584,Arabic world,philosopher,-300,1,166
