,region_code,country_code_maddison,year,gdp_per_capita
79,re_eastern_europe,POL,1819,792
80,re_eastern_europe,POL,1820,818
81,re_eastern_europe,POL,1821,834
82,re_eastern_europe,POL,1822,850
83,re_eastern_europe,POL,1823,870
84,re_eastern_europe,POL,1824,888
85,re_eastern_europe,POL,1825,897
86,re_eastern_europe,POL,1826,902
87,re_eastern_europe,POL,1827,921
88,re_eastern_europe,POL,1828,942
89,re_eastern_europe,POL,1829,953
90,re_eastern_europe,POL,1830,942
91,re_eastern_europe,POL,1831,929
92,re_eastern_europe,POL,1832,923
93,re_eastern_europe,POL,1833,920
94,re_eastern_europe,POL,1834,923
95,re_eastern_europe,POL,1835,915
96,re_eastern_europe,POL,1836,912
97,re_eastern_europe,POL,1837,923
98,re_eastern_europe,POL,1838,921
99,re_eastern_europe,POL,1839,913
100,re_eastern_europe,POL,1840,907
101,re_eastern_europe,POL,1841,921
102,re_eastern_europe,POL,1842,917
103,re_eastern_europe,POL,1843,913
104,re_eastern_europe,POL,1844,915
105,re_eastern_europe,POL,1845,932
106,re_eastern_europe,POL,1846,944
107,re_eastern_europe,POL,1847,956
108,re_eastern_europe,POL,1848,960
109,re_eastern_europe,POL,1849,960
110,re_eastern_europe,POL,1850,985
111,re_eastern_europe,POL,1851,1038
112,re_eastern_europe,POL,1852,1062
113,re_eastern_europe,POL,1853,1108
114,re_eastern_europe,POL,1854,1133
115,re_eastern_europe,POL,1855,1162
116,re_eastern_europe,POL,1856,1159
117,re_eastern_europe,POL,1857,1183
118,re_eastern_europe,POL,1858,1237
119,re_eastern_europe,POL,1859,1296
120,re_eastern_europe,POL,1860,1358
121,re_eastern_europe,POL,1861,1387
122,re_eastern_europe,POL,1862,1376
123,re_eastern_europe,POL,1863,1387
124,re_eastern_europe,POL,1864,1420
125,re_eastern_europe,POL,1865,1446
126,re_eastern_europe,POL,1866,1470
127,re_eastern_europe,POL,1867,1516
128,re_eastern_europe,POL,1868,1556
129,re_eastern_europe,POL,1869,1559
130,re_eastern_europe,POL,1870,1575
131,re_eastern_europe,POL,1871,1576
132,re_eastern_europe,POL,1872,1599
133,re_eastern_europe,POL,1873,1653
134,re_eastern_europe,POL,1874,1682
135,re_eastern_europe,POL,1875,1686
136,re_eastern_europe,POL,1876,1733
137,re_eastern_europe,POL,1877,1761
138,re_eastern_europe,POL,1878,1800
139,re_eastern_europe,POL,1879,1835
140,re_eastern_europe,POL,1880,1886
141,re_nordic_countries,SWE,1810,1320
142,re_nordic_countries,SWE,1811,1417
143,re_nordic_countries,SWE,1812,1328
144,re_nordic_countries,SWE,1813,1352
145,re_nordic_countries,SWE,1814,1363
146,re_nordic_countries,SWE,1815,1411
147,re_nordic_countries,SWE,1816,1438
148,re_nordic_countries,SWE,1817,1396
149,re_nordic_countries,SWE,1818,1407
150,re_nordic_countries,SWE,1819,1395
151,re_nordic_countries,SWE,1820,1415
152,re_nordic_countries,SWE,1821,1457
153,re_nordic_countries,SWE,1822,1465
154,re_nordic_countries,SWE,1823,1449
155,re_nordic_countries,SWE,1824,1487
156,re_nordic_countries,SWE,1825,1527
157,re_nordic_countries,SWE,1826,1532
158,re_nordic_countries,SWE,1827,1458
159,re_nordic_countries,SWE,1828,1486
160,re_nordic_countries,SWE,1829,1506
161,re_nordic_countries,SWE,1830,1468
162,re_nordic_countries,SWE,1831,1497
163,re_nordic_countries,SWE,1832,1457
164,re_nordic_countries,SWE,1833,1503
165,re_nordic_countries,SWE,1834,1522
166,re_nordic_countries,SWE,1835,1517
167,re_nordic_countries,SWE,1836,1565
168,re_nordic_countries,SWE,1837,1554
169,re_nordic_countries,SWE,1838,1529
170,re_nordic_countries,SWE,1839,1546
171,re_nordic_countries,SWE,1840,1568
172,re_nordic_countries,SWE,1841,1549
173,re_nordic_countries,SWE,1842,1476
174,re_nordic_countries,SWE,1843,1508
175,re_nordic_countries,SWE,1844,1573
176,re_nordic_countries,SWE,1845,1610
177,re_nordic_countries,SWE,1846,1554
178,re_nordic_countries,SWE,1847,1594
179,re_nordic_countries,SWE,1848,1612
180,re_nordic_countries,SWE,1849,1672
181,re_nordic_countries,SWE,1850,1715
182,re_nordic_countries,SWE,1851,1682
183,re_nordic_countries,SWE,1852,1645
184,re_nordic_countries,SWE,1853,1667
185,re_nordic_countries,SWE,1854,1685
186,re_nordic_countries,SWE,1855,1788
187,re_nordic_countries,SWE,1856,1771
188,re_nordic_countries,SWE,1857,1819
189,re_nordic_countries,SWE,1858,1841
190,re_nordic_countries,SWE,1859,1906
191,re_nordic_countries,SWE,1860,1941
192,re_nordic_countries,SWE,1861,1865
193,re_nordic_countries,SWE,1862,1808
194,re_nordic_countries,SWE,1863,1886
195,re_nordic_countries,SWE,1864,1919
196,re_nordic_countries,SWE,1865,1953
197,re_nordic_countries,SWE,1866,1921
198,re_nordic_countries,SWE,1867,1949
199,re_nordic_countries,SWE,1868,1774
200,re_nordic_countries,SWE,1869,1902
201,re_nordic_countries,SWE,1870,2144
202,re_nordic_countries,SWE,1871,2219
203,re_nordic_countries,SWE,1872,2259
204,re_nordic_countries,SWE,1873,2284
205,re_nordic_countries,SWE,1874,2370
206,re_nordic_countries,SWE,1875,2286
207,re_nordic_countries,SWE,1876,2431
208,re_nordic_countries,SWE,1877,2377
209,re_nordic_countries,SWE,1878,2291
210,re_nordic_countries,SWE,1879,2416
211,re_nordic_countries,SWE,1880,2359
212,re_low_countries,NLD,1815,3011
213,re_low_countries,NLD,1816,2869
214,re_low_countries,NLD,1817,2898
215,re_low_countries,NLD,1818,2942
216,re_low_countries,NLD,1819,2807
217,re_low_countries,NLD,1820,3006
218,re_low_countries,NLD,1821,2947
219,re_low_countries,NLD,1822,2974
220,re_low_countries,NLD,1823,3121
221,re_low_countries,NLD,1824,3100
222,re_low_countries,NLD,1825,3022
223,re_low_countries,NLD,1826,3068
224,re_low_countries,NLD,1827,3250
225,re_low_countries,NLD,1828,3319
226,re_low_countries,NLD,1829,3325
227,re_low_countries,NLD,1830,3038
228,re_low_countries,NLD,1831,3264
229,re_low_countries,NLD,1832,3417
230,re_low_countries,NLD,1833,3341
231,re_low_countries,NLD,1834,3370
232,re_low_countries,NLD,1835,3360
233,re_low_countries,NLD,1836,3472
234,re_low_countries,NLD,1837,3553
235,re_low_countries,NLD,1838,3590
236,re_low_countries,NLD,1839,3588
237,re_low_countries,NLD,1840,3623
238,re_low_countries,NLD,1841,3658
239,re_low_countries,NLD,1842,3569
240,re_low_countries,NLD,1843,3507
241,re_low_countries,NLD,1844,3540
242,re_low_countries,NLD,1845,3515
243,re_low_countries,NLD,1846,3521
244,re_low_countries,NLD,1847,3545
245,re_low_countries,NLD,1848,3602
246,re_low_countries,NLD,1849,3709
247,re_low_countries,NLD,1850,3779
248,re_low_countries,NLD,1851,3834
249,re_low_countries,NLD,1852,3790
250,re_low_countries,NLD,1853,3704
251,re_low_countries,NLD,1854,3931
252,re_low_countries,NLD,1855,3824
253,re_low_countries,NLD,1856,3977
254,re_low_countries,NLD,1857,3907
255,re_low_countries,NLD,1858,3800
256,re_low_countries,NLD,1859,3665
257,re_low_countries,NLD,1860,3840
258,re_low_countries,NLD,1861,3735
259,re_low_countries,NLD,1862,3881
260,re_low_countries,NLD,1863,3953
261,re_low_countries,NLD,1864,4111
262,re_low_countries,NLD,1865,4117
263,re_low_countries,NLD,1866,4272
264,re_low_countries,NLD,1867,4127
265,re_low_countries,NLD,1868,4152
266,re_low_countries,NLD,1869,4286
267,re_low_countries,NLD,1870,4422
268,re_low_countries,NLD,1871,4364
269,re_low_countries,NLD,1872,4414
270,re_low_countries,NLD,1873,4503
271,re_low_countries,NLD,1874,4337
272,re_low_countries,NLD,1875,4584
273,re_low_countries,NLD,1876,4595
274,re_low_countries,NLD,1877,4651
275,re_low_countries,NLD,1878,4637
276,re_low_countries,NLD,1879,4414
277,re_low_countries,NLD,1880,4666
278,re_france,FRA,1820,1809
279,re_france,FRA,1821,1953
280,re_france,FRA,1822,1875
281,re_france,FRA,1823,1934
282,re_france,FRA,1824,1986
283,re_france,FRA,1825,1898
284,re_france,FRA,1826,1949
285,re_france,FRA,1827,1908
286,re_france,FRA,1828,1897
287,re_france,FRA,1829,1946
288,re_france,FRA,1830,1898
289,re_france,FRA,1831,1926
290,re_france,FRA,1832,2091
291,re_france,FRA,1833,2053
292,re_france,FRA,1834,2056
293,re_france,FRA,1835,2125
294,re_france,FRA,1836,2090
295,re_france,FRA,1837,2118
296,re_france,FRA,1838,2211
297,re_france,FRA,1839,2130
298,re_france,FRA,1840,2276
